family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
mixed_random,1562,165.73184895515442,39.8983402871235,0.10610233607884406,0.06248,0.16851896152955728,0.328644167137699
decoherence_sensitive,2344,175.74022556096315,31.662877540838146,0.07497449895945527,0.09376,0.17869564900900478,0.2608083429964129
measurement_sensitive,2140,95.38194400072098,11.069510695349042,0.04457100186949579,0.0856,0.09698598219356908,0.09117998635820238
qft_lite,2284,81.72543802857399,11.003105738670849,0.035781715424069174,0.09136,0.08309981475467722,0.0906330061699472
qaoa_like,2760,117.08902698755264,8.428617699718341,0.04242356050273646,0.1104,0.11905811320422732,0.06942684893937749
trotter_ising,2756,98.97606390714645,6.272050390206353,0.03591294045977738,0.11024,0.10064054441599031,0.051663120869222895
entanglement_heavy,2512,96.61553382873535,6.018695015372456,0.03846159786175771,0.10048,0.0982403173022461,0.049576222879157444
clean_control,1270,47.5138857960701,4.253014824745069,0.0374125085008426,0.0508,0.04831292683372124,0.03503224707704753
routing_sensitive,2436,41.10370326042175,1.1876353480547266,0.01687344140411402,0.09744,0.04179494425564317,0.009782598148592725
mirror_circuit,2222,34.62369382381439,1.100673306512185,0.015582220442760752,0.08888,0.035205960497582935,0.009066288459776767
ghz_cat,2714,28.959769546985626,0.5083345109682789,0.010670511992257048,0.10856,0.029446786003780562,0.004187170964563547
