family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
qaoa_like,1380,225.16291865234376,59.01739084254117,0.16316153525532157,0.1104,0.17290765804605848,0.2585804297393623
entanglement_heavy,1256,208.41590410156252,56.13606273954179,0.16593622938022493,0.10048,0.16004724975782764,0.24595609903857796
trotter_ising,1378,151.13153939453125,26.12945873768765,0.10967455689008072,0.11024,0.11605730059820404,0.11448433373265816
measurement_sensitive,1070,120.91800677734373,18.340132323877107,0.11300748296948013,0.0856,0.09285565088872283,0.08035596338776933
decoherence_sensitive,1172,122.46624410156248,16.630145006947263,0.10449338233921714,0.09376,0.09404457707351571,0.07286377762780769
qft_lite,1142,93.76976773437498,11.029135289880282,0.08211012936460156,0.09136,0.07200790890220976,0.04832335862694691
ghz_cat,1357,93.68547223632812,9.769143335009863,0.06903866782338108,0.10856,0.07194317649760981,0.04280279500142518
routing_sensitive,1218,81.34655472656252,8.603551571253794,0.0667869907443042,0.09744,0.062467844847946694,0.037695838986089955
mixed_random,781,68.44772172851562,8.1201726836141,0.0876411289737716,0.06248,0.05256254152993833,0.035577949348672956
clean_control,635,59.57448754882811,7.344802885069817,0.09381809062807576,0.0508,0.045748585881793084,0.03218072265240258
mirror_circuit,1111,77.2962252832031,7.116112406147801,0.06957356011089388,0.08888,0.059357505976173584,0.031178731858286863
