feature,importance_mean,importance_std
mean_interaction_degree,0.05978930324746559,0.0006694466816640982
original_mean_interaction_degree,0.05978930324130926,0.0006694466816126907
num_single_qubit_gates,0.04367696168966131,0.0006161923956218321
original_num_single_qubit_gates,0.043676961661267284,0.0006161923955148983
unique_two_qubit_edge_count,0.0340904684665354,0.0005398366224006028
original_unique_two_qubit_edge_count,0.034090468461956625,0.00053983662238659
original_mean_qubit_gate_count,0.02330478901274747,0.0005230301644028426
mean_qubit_gate_count,0.02330478901050955,0.0005230301643814119
interaction_graph_density,0.021091208186803857,0.00042399942609626834
original_interaction_graph_density,0.02109120817879011,0.0004239994260005633
mean_qubit_two_qubit_gate_count,0.014707179543530551,0.00020296460690004146
original_mean_qubit_two_qubit_gate_count,0.01470717954209261,0.00020296460690108787
original_max_qubit_gate_count,0.013145362775681277,0.0003518438181871699
max_qubit_gate_count,0.013145362761703597,0.0003518438180046729
max_qubit_two_qubit_gate_count,0.009025733519582668,0.00022545175031315554
original_max_qubit_two_qubit_gate_count,0.009025733518465019,0.0002254517502956808
circuit_depth,0.00862609649450589,0.00027036624539808246
original_circuit_depth,0.00862609648259237,0.0002703662452563996
readout_error,0.00833665625626726,0.0003978828145085445
original_num_cx,0.0064852426689410445,0.00036863050520200463
num_cx,0.006485242665678733,0.0003686305051294005
long_range_interaction_score,0.00530103606597959,0.00016959317806116545
original_long_range_interaction_score,0.005301036057373588,0.0001695931779222176
max_interaction_degree,0.0023888871378632964,0.00015025424037965704
original_max_interaction_degree,0.0023888871365255054,0.00015025424034218997
num_cz,0.0021496519950183644,0.00012875386955129954
original_num_cz,0.002149651989167835,0.00012875386938462923
qubit_count,0.000733472621127565,0.0001432943607297081
measurement_count,0.0007334726119786862,0.00014329436010158145
two_qubit_gate_error,0.0007208736802396072,9.610216165876597e-05
entanglement_density,0.0002920929328236732,4.7957383564297364e-05
original_entanglement_density,0.0002920929291401111,4.795738326383017e-05
t1_mean,0.00019249526381642183,5.1093536735284615e-05
t2_mean,5.6371015739391066e-05,2.1515819076598037e-05
single_qubit_gate_error,3.120007693429433e-05,3.3183454067380406e-05
active_qubit_fraction,-7.542304217619117e-06,5.299699880309555e-06
original_active_qubit_fraction,-7.5423042179305e-06,5.299699880672549e-06
