feature,importance
measurement_count,0.4473384618759155
qubit_count,0.22081352770328522
original_unique_two_qubit_edge_count,0.07021588832139969
original_mean_interaction_degree,0.06758461892604828
num_single_qubit_gates,0.031993430107831955
original_num_single_qubit_gates,0.028246616944670677
entanglement_density,0.01799626834690571
num_cx,0.013527482748031616
original_num_cz,0.011335731483995914
mean_qubit_two_qubit_gate_count,0.010634813457727432
num_cz,0.008359181694686413
readout_error,0.007919810712337494
original_entanglement_density,0.007816288620233536
original_num_cx,0.007120619062334299
original_interaction_graph_density,0.00650536734610796
unique_two_qubit_edge_count,0.0063364338129758835
circuit_depth,0.003722683759406209
original_mean_qubit_two_qubit_gate_count,0.0035703894682228565
original_long_range_interaction_score,0.0035649866331368685
original_mean_qubit_gate_count,0.0031633940525352955
t1_mean,0.0029820234049111605
long_range_interaction_score,0.002502146176993847
mean_qubit_gate_count,0.002426670864224434
original_max_qubit_two_qubit_gate_count,0.0018668575212359428
original_circuit_depth,0.0018190954579040408
t2_mean,0.0017080403631553054
max_qubit_two_qubit_gate_count,0.0014399851206690073
two_qubit_gate_error,0.00116806011646986
original_max_qubit_gate_count,0.001144593465141952
max_qubit_gate_count,0.0009059440344572067
original_active_qubit_fraction,0.0008504913421347737
active_qubit_fraction,0.0007548350840806961
original_max_interaction_degree,0.0007292095688171685
interaction_graph_density,0.00055128731764853
mean_interaction_degree,0.0005330969579517841
max_interaction_degree,0.00047186826122924685
single_qubit_gate_error,0.000379744655219838
