feature,importance_mean,importance_std
qubit_count,0.04276873992308974,0.0007097087233412508
readout_error,0.01640342890843749,0.0004448455790428932
original_num_single_qubit_gates,0.013209729161113501,0.0002598817080385267
original_entanglement_density,0.009964665896445513,0.0002793828771336547
original_unique_two_qubit_edge_count,0.009393291451781988,0.00025700198196993633
measurement_count,0.008485733646154403,0.00024748203183573943
original_num_cz,0.004018062813580038,0.0001494307444998512
original_num_cx,0.0036593808211386205,0.0001537571643991938
original_mean_qubit_gate_count,0.0030801754660904406,0.00014675717763955746
original_mean_interaction_degree,0.0028872978352010256,0.00012915217912378744
two_qubit_gate_error,0.002782866491377354,0.0001196953884751197
num_single_qubit_gates,0.002607803831994534,0.00011852025420312427
entanglement_density,0.0023787866137921815,0.00012334947321568542
original_mean_qubit_two_qubit_gate_count,0.0017470646046102052,5.7418802912927224e-05
t1_mean,0.0014980911254882812,6.710878530580507e-05
original_circuit_depth,0.001478585001081229,9.175055909509588e-05
t2_mean,0.0009782307140529163,7.205529667132314e-05
original_interaction_graph_density,0.0009771131061017519,0.00010363084081603684
original_max_qubit_two_qubit_gate_count,0.0008655757687985903,4.643986709724701e-05
original_max_qubit_gate_count,0.0008056929178535941,7.66086981906511e-05
original_long_range_interaction_score,0.0004640665054321297,5.9216278743234397e-05
mean_qubit_gate_count,0.00042066300883889223,3.466854702764163e-05
num_cx,0.00040550113841891344,4.0466288799653e-05
single_qubit_gate_error,0.00032884900197386767,4.611364036358716e-05
mean_qubit_two_qubit_gate_count,0.0002974408715963367,1.5036433831786104e-05
num_cz,0.00027247593998909036,2.9386214632471663e-05
circuit_depth,0.00023271624669432642,3.428919690498381e-05
interaction_graph_density,0.0002267534732818613,1.5727879995818616e-05
unique_two_qubit_edge_count,0.00022598276510834734,2.3664334532316344e-05
max_qubit_gate_count,0.00013112712055444705,3.9107707159990074e-05
long_range_interaction_score,0.00010004806444048869,1.9438842948754753e-05
max_qubit_two_qubit_gate_count,9.460049793124248e-05,1.2082728362147299e-05
mean_interaction_degree,8.849218711257014e-05,1.5804291603410594e-05
original_max_interaction_degree,5.543017014861089e-05,8.128388850724897e-06
original_active_qubit_fraction,4.966523200273512e-05,9.678500765824904e-06
max_interaction_degree,1.6921727359295227e-05,2.4586432288421063e-06
active_qubit_fraction,2.084414660930879e-06,4.292787606726292e-06
