feature,importance_mean,importance_std
original_entanglement_density,0.05614812714123918,0.0018752492022314437
measurement_count,0.044109839389164934,0.0008030377766270691
qubit_count,0.04223635624642232,0.0007225196400080066
original_long_range_interaction_score,0.04084008822703655,0.0007192697170573515
original_num_cz,0.01473037026371374,0.0003501799363704333
original_interaction_graph_density,0.011322420624623245,0.0003676377847412892
original_mean_qubit_two_qubit_gate_count,0.011306204269594706,0.00035413397938907274
entanglement_density,0.008769246361473092,0.00018036821767176267
original_mean_qubit_gate_count,0.00868728956776751,0.00034044183568286804
original_num_single_qubit_gates,0.008626112349477718,0.0003533678226532252
mean_qubit_gate_count,0.008555354904051737,0.00016815148896874905
original_unique_two_qubit_edge_count,0.008460187193223875,0.0002527314530699781
original_mean_interaction_degree,0.00737999335792044,0.00020955078660297226
max_qubit_gate_count,0.006288867608295854,0.000312840168962619
num_single_qubit_gates,0.0061536490798531395,0.00027268109429178883
local_readout_error_max,0.004321490819309664,0.00019951158106714916
long_range_interaction_score,0.0041002370873167255,0.00014375747006029237
local_readout_error_mean,0.004052274298722473,0.00018648790240755037
original_max_interaction_degree,0.0035445005786716053,0.00010785532183484385
readout_error,0.003529909214838204,0.00015265955754536987
num_cz,0.003397165398166334,0.00010477165586429395
circuit_depth,0.00338707623959582,0.00016169113671252766
original_max_qubit_two_qubit_gate_count,0.002749883164854159,0.0001022607452831722
max_qubit_two_qubit_gate_count,0.0024548020165576605,0.0001855733216091334
mean_qubit_two_qubit_gate_count,0.0015514910971005536,9.605333944724348e-05
original_circuit_depth,0.00149422208098239,0.00017394591130740977
original_max_qubit_gate_count,0.0014855731139714144,0.00010880650790481726
original_num_cx,0.001358804784226451,0.00010874136418641703
num_cx,0.0012191355654093995,0.00010195529647633554
t1_mean,0.0007470247373115215,5.8445345232973286e-05
local_t2_mean,0.0007007357439824035,6.719810849367236e-05
local_t1_mean,0.0006680634406691713,4.856265338123071e-05
t2_mean,0.0005814686380411459,6.413023000085924e-05
active_qubit_fraction,0.0003673017003963438,5.044190906211491e-05
local_two_qubit_error_max,0.0003529237881741273,4.1508591457667595e-05
two_qubit_gate_error,0.00030947183395562024,3.733980798300021e-05
local_two_qubit_error_mean,0.00029603407585330945,3.489082009222768e-05
interaction_graph_density,0.00026829542818997305,1.7671149519202277e-05
max_interaction_degree,0.00021460087037024084,1.1186496061077988e-05
original_active_qubit_fraction,0.00011505653940453459,4.03807613047977e-05
mean_interaction_degree,0.00010353464244922551,1.1122136157079785e-05
coupling_path_length,9.054335072335856e-05,1.5128281967465442e-05
unique_two_qubit_edge_count,8.356223942739688e-05,1.0688619556543957e-05
single_qubit_gate_error,6.126704598939225e-05,2.8079169415645473e-05
