feature,importance
measurement_count,0.40908950567245483
qubit_count,0.1165245920419693
original_long_range_interaction_score,0.06362607330083847
original_unique_two_qubit_edge_count,0.06170118227601051
original_max_qubit_two_qubit_gate_count,0.05415087565779686
unique_two_qubit_edge_count,0.03991537168622017
max_qubit_gate_count,0.024030137807130814
num_cx,0.02197558619081974
original_num_single_qubit_gates,0.02142471820116043
long_range_interaction_score,0.0197428148239851
original_entanglement_density,0.01705450937151909
original_mean_qubit_two_qubit_gate_count,0.013203833252191544
original_max_interaction_degree,0.011997055262327194
original_interaction_graph_density,0.010857956483960152
entanglement_density,0.009834138676524162
num_single_qubit_gates,0.009043253026902676
original_mean_interaction_degree,0.008478726260364056
original_num_cz,0.007392217870801687
circuit_depth,0.007320755627006292
max_qubit_two_qubit_gate_count,0.0058209532871842384
mean_qubit_gate_count,0.005757101811468601
mean_interaction_degree,0.005527985282242298
original_num_cx,0.0052964044734835625
local_readout_error_mean,0.005012502893805504
original_circuit_depth,0.004315795376896858
original_mean_qubit_gate_count,0.003852907568216324
mean_qubit_two_qubit_gate_count,0.0038314471021294594
original_max_qubit_gate_count,0.003811442758888006
readout_error,0.0037535554729402065
interaction_graph_density,0.0037270747125148773
num_cz,0.003207486355677247
local_t1_mean,0.002559304004535079
max_interaction_degree,0.0019836672581732273
local_t2_mean,0.001981231151148677
local_two_qubit_error_max,0.0017545274458825588
active_qubit_fraction,0.0016189354937523603
original_active_qubit_fraction,0.0016025318764150143
t1_mean,0.0014011560706421733
coupling_path_length,0.0012594745494425297
t2_mean,0.001208172645419836
two_qubit_gate_error,0.0010676186066120863
local_two_qubit_error_mean,0.0008860038942657411
single_qubit_gate_error,0.0007087509147822857
local_readout_error_max,0.0006907287752255797
