ablation_name,ablation_description,model_name,model_display_name,target_name,feature_column_count,used_local_feature_count,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2,cv_best_r2,best_params
both,"Raw and transpiled rows together, but only shared variant-agnostic pre-run features.",xgboost_regressor,XGBoost Regressor,reliability,37,0,0.0406007927852869,0.07254499997219298,0.8519238319583288,0.03933844534784556,0.06968582506006768,0.8578569179452742,0.8542937661017476,"{'learning_rate': 0.1, 'max_depth': 6}"
both,"Raw and transpiled rows together, but only shared variant-agnostic pre-run features.",random_forest_regressor,Random Forest Regressor,reliability,37,0,0.04053686359910326,0.07512540862433964,0.8412024155637595,0.039423957984535,0.07219445784937015,0.8474386391396485,0.8443912119694669,"{'max_depth': None, 'min_samples_leaf': 2}"
both,"Raw and transpiled rows together, but only shared variant-agnostic pre-run features.",ridge_regression,Ridge Regression,reliability,37,0,0.0741311766001042,0.11277585423854586,0.6421488244904011,0.07291884674151283,0.11014147833917493,0.6449098396996189,0.6425623418707646,{'alpha': 0.1}
both,"Raw and transpiled rows together, but only shared variant-agnostic pre-run features.",dummy_mean,Dummy Mean,reliability,37,0,0.14399470648124998,0.18852555194769488,-2.4498058469824002e-05,0.14169166397968752,0.1848402831124288,-6.927643377729886e-05,-1.600705174335341e-06,{}
both_with_local_features,"Raw and transpiled rows together, explicit `compiler_variant`, and local mapping-aware features with train-only imputation.",xgboost_regressor,XGBoost Regressor,reliability,45,7,0.03972838337913156,0.0705710938064977,0.8598723318930854,0.038698797769844535,0.06783849225568654,0.8652932962535624,0.8610078750874651,"{'learning_rate': 0.1, 'max_depth': 6}"
both_with_local_features,"Raw and transpiled rows together, explicit `compiler_variant`, and local mapping-aware features with train-only imputation.",random_forest_regressor,Random Forest Regressor,reliability,45,7,0.040492930607534595,0.07154871724876306,0.8559630550613548,0.039550566835429776,0.0695259011895953,0.8585085852708045,0.8571804872925779,"{'max_depth': 12, 'min_samples_leaf': 2}"
both_with_local_features,"Raw and transpiled rows together, explicit `compiler_variant`, and local mapping-aware features with train-only imputation.",ridge_regression,Ridge Regression,reliability,45,7,0.07533721545478017,0.11155183069828366,0.6498746134739158,0.07415886990116215,0.10896438889180916,0.6524590288800072,0.6497695273833101,{'alpha': 0.1}
both_with_local_features,"Raw and transpiled rows together, explicit `compiler_variant`, and local mapping-aware features with train-only imputation.",dummy_mean,Dummy Mean,reliability,45,7,0.14399470648124998,0.18852555194769488,-2.4498058469824002e-05,0.14169166397968752,0.1848402831124288,-6.927643377729886e-05,-1.600705174335341e-06,{}
both_without_local_features,"Raw and transpiled rows together, shared pre-run features plus explicit `compiler_variant`, without local mapping-aware features.",xgboost_regressor,XGBoost Regressor,reliability,38,0,0.039562710277438164,0.07016206782508418,0.8614919683246804,0.038405574655532834,0.06746183532080433,0.8667849968083633,0.8624875219898106,"{'learning_rate': 0.1, 'max_depth': 6}"
both_without_local_features,"Raw and transpiled rows together, shared pre-run features plus explicit `compiler_variant`, without local mapping-aware features.",random_forest_regressor,Random Forest Regressor,reliability,38,0,0.04028753006230334,0.07146396032058992,0.8563041065452581,0.03937267181014958,0.06934621620857044,0.8592389901583612,0.8582246046012942,"{'max_depth': 12, 'min_samples_leaf': 2}"
both_without_local_features,"Raw and transpiled rows together, shared pre-run features plus explicit `compiler_variant`, without local mapping-aware features.",ridge_regression,Ridge Regression,reliability,38,0,0.07482000394303369,0.11196454509557803,0.6472790648836755,0.07362943038624034,0.10933086937666928,0.6501173249175458,0.647368082850087,{'alpha': 0.1}
