family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
mixed_random,1562,175.84949239963598,44.901116716754764,0.11257970063997182,0.06248,0.17841891214333902,0.34459535169145294
decoherence_sensitive,2344,176.5026183968348,32.90520447940497,0.07529975187578276,0.09376,0.17908158127205007,0.2525322606470634
qft_lite,2284,71.37467725281448,11.788419323641527,0.03124985869212543,0.09136,0.07241756627359731,0.0904706786769238
measurement_sensitive,2140,97.20889062128734,11.76948665412793,0.04542471524359221,0.0856,0.09862925549932848,0.09032537917467195
qaoa_like,2760,122.874993078658,9.126654877462018,0.044519925028499274,0.1104,0.1246703774662693,0.070042864793427
trotter_ising,2756,101.35952505051102,6.708598412183841,0.03677776670918397,0.11024,0.10284053680279565,0.05148539720707187
entanglement_heavy,2512,97.95526878877415,6.13870332885212,0.038994931842664865,0.10048,0.09938653934970149,0.04711171541410558
clean_control,1270,42.96723840975647,4.1240847112218955,0.03383247118878462,0.0508,0.04359505296410006,0.031650447146642065
routing_sensitive,2436,41.5505632972171,1.4082095564498303,0.01705688148490029,0.09744,0.04215767814435711,0.010807358543468462
mirror_circuit,2222,30.26488306578677,0.9726418664108133,0.0136205594355476,0.08888,0.030707097524463576,0.007464577510175781
ghz_cat,2714,27.690799252098827,0.45787367760235204,0.010202947403131477,0.10856,0.02809540255999787,0.003513969194997008
