feature,source_feature,mean_abs_shap
qubit_count,qubit_count,0.04808253183673374
measurement_count,measurement_count,0.04032602336917583
original_num_single_qubit_gates,original_num_single_qubit_gates,0.026315207955301095
long_range_interaction_score,long_range_interaction_score,0.0231426973532087
original_entanglement_density,original_entanglement_density,0.020199304171848436
readout_error,readout_error,0.018863769077107774
original_long_range_interaction_score,original_long_range_interaction_score,0.012509610447355055
entanglement_density,entanglement_density,0.01247294112262344
num_single_qubit_gates,num_single_qubit_gates,0.008853477554367821
original_max_qubit_two_qubit_gate_count,original_max_qubit_two_qubit_gate_count,0.007813819816915061
mean_qubit_gate_count,mean_qubit_gate_count,0.006601742639817026
t2_mean,t2_mean,0.004742334053372486
two_qubit_gate_error,two_qubit_gate_error,0.004594114874059043
original_mean_qubit_gate_count,original_mean_qubit_gate_count,0.004552838379377147
t1_mean,t1_mean,0.004328148569311089
circuit_depth,circuit_depth,0.0032799414023590803
mean_qubit_two_qubit_gate_count,mean_qubit_two_qubit_gate_count,0.0029886324946682102
original_unique_two_qubit_edge_count,original_unique_two_qubit_edge_count,0.0027125835783945815
original_circuit_depth,original_circuit_depth,0.002584805267221529
max_qubit_two_qubit_gate_count,max_qubit_two_qubit_gate_count,0.002536115639081043
num_cx,num_cx,0.0025058302202658565
original_num_cx,original_num_cx,0.002300763484520052
num_cz,num_cz,0.0019068098863346638
original_num_cz,original_num_cz,0.0016100944534273936
max_qubit_gate_count,max_qubit_gate_count,0.001547585322762071
single_qubit_gate_error,single_qubit_gate_error,0.0014955187873867876
original_mean_interaction_degree,original_mean_interaction_degree,0.0013931310127773884
original_max_qubit_gate_count,original_max_qubit_gate_count,0.0013354056510623384
interaction_graph_density,interaction_graph_density,0.0012933916539007522
original_interaction_graph_density,original_interaction_graph_density,0.0011065021943051406
unique_two_qubit_edge_count,unique_two_qubit_edge_count,0.0010601757505572511
original_mean_qubit_two_qubit_gate_count,original_mean_qubit_two_qubit_gate_count,0.001048026741837162
mean_interaction_degree,mean_interaction_degree,0.0005903704988484991
active_qubit_fraction,active_qubit_fraction,0.0005265386169829005
max_interaction_degree,max_interaction_degree,0.0005139105508556974
original_max_interaction_degree,original_max_interaction_degree,0.00034475876584642146
original_active_qubit_fraction,original_active_qubit_fraction,0.0002386171755331461
