family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
qft_lite,2284,276.4294630106952,60.55122894881701,0.12102866156335167,0.09136,0.15163677176113285,0.19965544125400256
mixed_random,1562,199.5935590024101,56.493087290995184,0.12778076760717677,0.06248,0.10948805030334147,0.1862745392074307
measurement_sensitive,2140,228.00355910451066,55.655283107092146,0.10654371920771526,0.0856,0.12507249869858833,0.18351204921465117
decoherence_sensitive,2344,221.94933802000875,42.60477144438231,0.094688284138229,0.09376,0.12175142528339115,0.14048062425692956
clean_control,1270,114.44114795127236,21.313844646852836,0.09011114011911209,0.0508,0.06277726709362275,0.07027809561691484
qaoa_like,2760,162.9296086652843,15.714798284986138,0.0590324669077117,0.1104,0.08937585600762288,0.051816371695092546
entanglement_heavy,2512,153.27234334188654,14.417712682195946,0.0610160602475663,0.10048,0.08407831455986443,0.047539494035215596
trotter_ising,2756,148.056029330978,13.397313377809667,0.053721345911095064,0.11024,0.08121687928269958,0.04417493353150182
routing_sensitive,2436,129.06473497380193,10.5500716196876,0.05298223931601065,0.09744,0.07079910927901449,0.03478672920529072
mirror_circuit,2222,98.8335838078005,7.204080740590008,0.04447956066957718,0.08888,0.054215659311317305,0.023754000439987114
ghz_cat,2714,90.39780132917265,5.376439125064607,0.033307959222244894,0.10856,0.04958816841940481,0.017727721542983303
