feature,importance
mean_interaction_degree,0.4026597626065282
unique_two_qubit_edge_count,0.258578683454995
original_mean_interaction_degree,0.226552579086273
original_num_single_qubit_gates,0.19088461514425306
original_unique_two_qubit_edge_count,0.1690335542528843
original_mean_qubit_two_qubit_gate_count,0.14497863568784158
max_qubit_two_qubit_gate_count,0.14112076562833104
interaction_graph_density,0.13860437793908192
num_cz,0.12745642635723248
original_num_cz,0.12130628996611675
original_mean_qubit_gate_count,0.11946493139196131
circuit_depth,0.08204902997050627
num_cx,0.0749494498875107
num_single_qubit_gates,0.06603971565829192
long_range_interaction_score,0.06583516157149566
mean_qubit_gate_count,0.05284630103591889
original_interaction_graph_density,0.05214675982386864
original_circuit_depth,0.04517520826982801
original_max_interaction_degree,0.04225482292170227
original_num_cx,0.03942384075886786
original_entanglement_density,0.03554156799219343
active_qubit_fraction,0.03203408900323677
measurement_count,0.027732310290446077
qubit_count,0.02773231022255327
original_max_qubit_two_qubit_gate_count,0.027568887849925044
original_max_qubit_gate_count,0.024732529181479848
readout_error,0.024087079087121134
mean_qubit_two_qubit_gate_count,0.024081210641872068
entanglement_density,0.022951690671411545
original_long_range_interaction_score,0.02061323426072922
max_interaction_degree,0.010587722992141621
max_qubit_gate_count,0.009201316279308014
original_active_qubit_fraction,0.008815225024754986
two_qubit_gate_error,0.00731509889630533
t1_mean,0.0027351815775294103
t2_mean,0.0023659849566324788
single_qubit_gate_error,0.0018191377332408675
