split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,both,xgboost_regressor,overall,overall,25000,0.0406007927852869,0.07254499997219298,0.8519238319583288
validation,both,xgboost_regressor,family,clean_control,1212,0.04045165593277897,0.06368029900115094,0.8598826700338689
validation,both,xgboost_regressor,family,decoherence_sensitive,2340,0.07907821973865359,0.12481464419212998,0.7693175049412955
validation,both,xgboost_regressor,family,entanglement_heavy,2554,0.03795027864707478,0.047978654540234186,0.939821942494082
validation,both,xgboost_regressor,family,ghz_cat,2690,0.011224265368897675,0.014416182432832917,0.9697697463917604
validation,both,xgboost_regressor,family,measurement_sensitive,2120,0.04917461754367599,0.08055765742552783,0.8901120305828926
validation,both,xgboost_regressor,family,mirror_circuit,2176,0.015391238472040962,0.021857493935720822,0.8608803557253524
validation,both,xgboost_regressor,family,mixed_random,1568,0.10714546792513253,0.16108443092956623,0.43153084748369075
validation,both,xgboost_regressor,family,qaoa_like,2762,0.04312357275189048,0.0561438373965468,0.9284640394346289
validation,both,xgboost_regressor,family,qft_lite,2280,0.03866101033462767,0.07411580531565906,0.902180885503632
validation,both,xgboost_regressor,family,routing_sensitive,2530,0.017358033529854575,0.02265242807235243,0.9140835429687441
validation,both,xgboost_regressor,family,trotter_ising,2768,0.03501273077950312,0.04557435660000629,0.8810698241068712
validation,both,xgboost_regressor,qubit_count,2,2560,0.017424226645380257,0.026056072053279377,0.606175543786104
validation,both,xgboost_regressor,qubit_count,3,5436,0.04467175128466071,0.0800464282357924,0.5622473210595869
validation,both,xgboost_regressor,qubit_count,4,6254,0.0411441811203461,0.07510731534498938,0.727297590700098
validation,both,xgboost_regressor,qubit_count,5,6106,0.0413446796773068,0.07269772137927401,0.8076028298539665
validation,both,xgboost_regressor,qubit_count,6,4644,0.04690177360040992,0.07688367737719498,0.8442554355518532
validation,both,xgboost_regressor,compiler_variant,raw,12500,0.028621786224842072,0.04079507820270001,0.913096611861715
validation,both,xgboost_regressor,compiler_variant,transpiled,12500,0.05257979934573174,0.0941345613277427,0.8168956791851429
validation,both,xgboost_regressor,difficulty_bucket,q1,6982,0.0400040809164345,0.08288500748633153,0.6507495545508136
validation,both,xgboost_regressor,difficulty_bucket,q2,5948,0.038280021643520366,0.0707179340413556,0.8687641015489158
validation,both,xgboost_regressor,difficulty_bucket,q3,6368,0.03829164422777055,0.06414862450061368,0.8957498000062604
validation,both,xgboost_regressor,difficulty_bucket,q4,5702,0.04633121141626182,0.06963966987745818,0.8840052302563178
test,both,xgboost_regressor,overall,overall,25000,0.03933844534784556,0.06968582506006768,0.8578569179452742
test,both,xgboost_regressor,family,clean_control,1270,0.0374125085008426,0.05786908130137724,0.8713303341622637
test,both,xgboost_regressor,family,decoherence_sensitive,2344,0.07497449895945527,0.11622415221621557,0.7778043548044569
test,both,xgboost_regressor,family,entanglement_heavy,2512,0.03846159786175771,0.04894872128091607,0.937184069965342
test,both,xgboost_regressor,family,ghz_cat,2714,0.010670511992257048,0.013685790130606175,0.9739502521646691
test,both,xgboost_regressor,family,measurement_sensitive,2140,0.04457100186949579,0.07192126632108561,0.9083481861648595
test,both,xgboost_regressor,family,mirror_circuit,2222,0.015582220442760752,0.02225651642065311,0.86209019406121
test,both,xgboost_regressor,family,mixed_random,1562,0.10610233607884406,0.1598221248121313,0.4744797518873165
test,both,xgboost_regressor,family,qaoa_like,2760,0.04242356050273646,0.05526162314528567,0.9230414042378321
test,both,xgboost_regressor,family,qft_lite,2284,0.035781715424069174,0.06940801008937601,0.9160015728313767
test,both,xgboost_regressor,family,routing_sensitive,2436,0.01687344140411402,0.022080195564062845,0.9152622423659355
test,both,xgboost_regressor,family,trotter_ising,2756,0.03591294045977738,0.047705138692751045,0.8742012087619587
test,both,xgboost_regressor,qubit_count,2,2590,0.0187313082135322,0.029083532976709292,0.5483549264860046
test,both,xgboost_regressor,qubit_count,3,5526,0.04292210113557836,0.07552366345354478,0.5883254333181167
test,both,xgboost_regressor,qubit_count,4,6140,0.040482534919577234,0.07360516233393777,0.7291114969933684
test,both,xgboost_regressor,qubit_count,5,6180,0.039144027196955915,0.06818111256495502,0.8244746775612377
test,both,xgboost_regressor,qubit_count,6,4564,0.04541776118853916,0.07503902642289074,0.8459922030051796
test,both,xgboost_regressor,compiler_variant,raw,12500,0.02836033378124237,0.040454108110644794,0.9103592719073984
test,both,xgboost_regressor,compiler_variant,transpiled,12500,0.05031655691444874,0.0898648627972968,0.8268423120571339
test,both,xgboost_regressor,difficulty_bucket,q1,7038,0.038145382157372086,0.0793326713038327,0.6784477534969837
test,both,xgboost_regressor,difficulty_bucket,q2,5896,0.036742457106527515,0.06761652383969946,0.8790015100263764
test,both,xgboost_regressor,difficulty_bucket,q3,6510,0.03748952313891388,0.061817258516731095,0.8995623504195356
test,both,xgboost_regressor,difficulty_bucket,q4,5556,0.045770988361796,0.06744643917583683,0.8831417673655839
