feature,importance_mean,importance_std
qubit_count,0.0,0.0
original_circuit_depth,0.0,0.0
original_num_cx,0.0,0.0
original_num_cz,0.0,0.0
original_num_single_qubit_gates,0.0,0.0
original_entanglement_density,0.0,0.0
original_unique_two_qubit_edge_count,0.0,0.0
original_interaction_graph_density,0.0,0.0
original_mean_qubit_gate_count,0.0,0.0
original_max_qubit_gate_count,0.0,0.0
original_mean_qubit_two_qubit_gate_count,0.0,0.0
original_max_qubit_two_qubit_gate_count,0.0,0.0
original_active_qubit_fraction,0.0,0.0
original_mean_interaction_degree,0.0,0.0
original_max_interaction_degree,0.0,0.0
original_long_range_interaction_score,0.0,0.0
circuit_depth,0.0,0.0
num_cx,0.0,0.0
num_cz,0.0,0.0
num_single_qubit_gates,0.0,0.0
entanglement_density,0.0,0.0
unique_two_qubit_edge_count,0.0,0.0
interaction_graph_density,0.0,0.0
mean_qubit_gate_count,0.0,0.0
max_qubit_gate_count,0.0,0.0
mean_qubit_two_qubit_gate_count,0.0,0.0
max_qubit_two_qubit_gate_count,0.0,0.0
active_qubit_fraction,0.0,0.0
mean_interaction_degree,0.0,0.0
max_interaction_degree,0.0,0.0
long_range_interaction_score,0.0,0.0
measurement_count,0.0,0.0
t1_mean,0.0,0.0
t2_mean,0.0,0.0
readout_error,0.0,0.0
single_qubit_gate_error,0.0,0.0
two_qubit_gate_error,0.0,0.0
compiler_variant,0.0,0.0
local_readout_error_mean,0.0,0.0
local_readout_error_max,0.0,0.0
local_t1_mean,0.0,0.0
local_t2_mean,0.0,0.0
local_two_qubit_error_mean,0.0,0.0
local_two_qubit_error_max,0.0,0.0
coupling_path_length,0.0,0.0
