feature,importance_mean,importance_std
measurement_count,0.0404440735279748,0.0002954439716256063
qubit_count,0.03311343046634129,0.0002837430694210762
original_num_single_qubit_gates,0.03228873256788062,0.0007711003326779272
long_range_interaction_score,0.021964848755617862,0.0009884196572657288
original_entanglement_density,0.01877596068253367,0.0006443900010757666
entanglement_density,0.015810444133014148,0.000556130010580642
original_long_range_interaction_score,0.014367157999466914,0.00040213378953857237
original_max_qubit_two_qubit_gate_count,0.013938377896883753,0.0006635100567234245
readout_error,0.013243189249355528,0.0003286857322195361
compiler_variant,0.012527559245836931,0.000261927264593679
coupling_path_length,0.01223317162971016,0.0004953881482827626
num_single_qubit_gates,0.005586817627138821,0.0002090380972198186
mean_qubit_two_qubit_gate_count,0.005433862544429176,0.00013974077073879916
original_mean_qubit_gate_count,0.004965469440813945,0.00015900399522868455
circuit_depth,0.004428120641067678,0.0002598943231734975
mean_qubit_gate_count,0.0034109221558071756,0.0001749123771684085
original_num_cz,0.0030579154085825953,6.11768291290016e-05
original_num_cx,0.0025297916793056274,0.00012688491722920113
num_cz,0.0024912167185553733,0.00013442381557778505
max_qubit_gate_count,0.00179415990487516,0.00014153195752875127
t1_mean,0.001679011400988248,9.655529514473917e-05
original_unique_two_qubit_edge_count,0.0015532696201578195,0.00015344120496312762
original_interaction_graph_density,0.0012959613743097733,3.6224422514529e-05
max_qubit_two_qubit_gate_count,0.001238946387105649,7.098420889655149e-05
num_cx,0.0012139465025579133,8.78475251468253e-05
t2_mean,0.0011483298803478094,0.0001068291491800986
local_readout_error_mean,0.0010981637597225645,5.596911782237979e-05
local_readout_error_max,0.0009990999823611723,5.591327416303602e-05
unique_two_qubit_edge_count,0.0009494565983144349,7.697375371335652e-05
interaction_graph_density,0.0009346634134787006,8.100837005609659e-05
original_max_qubit_gate_count,0.0009197390008686412,6.459767646857252e-05
max_interaction_degree,0.0007823219120679653,6.0181829461904427e-05
original_mean_interaction_degree,0.0007046983664642063,2.9737459489374033e-05
original_circuit_depth,0.0006763372785173125,5.8266929654014104e-05
two_qubit_gate_error,0.0006381634543894546,4.8640659501970466e-05
mean_interaction_degree,0.0004434155681523385,3.486260829099138e-05
original_mean_qubit_two_qubit_gate_count,0.00034086718330159516,2.6536253244107652e-05
local_t1_mean,0.00022325338728579423,3.49308002594668e-05
local_t2_mean,0.0001518563093036874,4.5817252023405765e-05
original_max_interaction_degree,0.00014587842217612425,2.7387195423585216e-05
active_qubit_fraction,9.023825933845552e-05,1.186262733037684e-05
local_two_qubit_error_max,5.84212582879556e-05,2.284886665004205e-05
local_two_qubit_error_mean,3.954129119477373e-05,2.7467178531951738e-05
single_qubit_gate_error,3.1751065694665855e-05,6.936591531545484e-05
original_active_qubit_fraction,-4.545075005006442e-06,6.507049156602269e-06
