split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,both_with_local_features,random_forest_regressor,overall,overall,25000,0.040492930607534595,0.07154871724876306,0.8559630550613548
validation,both_with_local_features,random_forest_regressor,family,clean_control,1212,0.03419416138052559,0.05360268228265396,0.9007216135899739
validation,both_with_local_features,random_forest_regressor,family,decoherence_sensitive,2340,0.07852789758461219,0.12503912195004094,0.7684869989494323
validation,both_with_local_features,random_forest_regressor,family,entanglement_heavy,2554,0.03905480658352767,0.04971398608690405,0.9353900793005951
validation,both_with_local_features,random_forest_regressor,family,ghz_cat,2690,0.012425761614201504,0.016465160622236425,0.9605657854520828
validation,both_with_local_features,random_forest_regressor,family,measurement_sensitive,2120,0.04939260931317118,0.0817197575265719,0.8869187424228006
validation,both_with_local_features,random_forest_regressor,family,mirror_circuit,2176,0.014214616014360663,0.020944211109875252,0.8722632862758364
validation,both_with_local_features,random_forest_regressor,family,mixed_random,1568,0.09585108515360397,0.14877202237329226,0.515111033280661
validation,both_with_local_features,random_forest_regressor,family,qaoa_like,2762,0.044612469110575176,0.05790098661733485,0.923916207042771
validation,both_with_local_features,random_forest_regressor,family,qft_lite,2280,0.03922800904022738,0.0762236993558518,0.8965377048386848
validation,both_with_local_features,random_forest_regressor,family,routing_sensitive,2530,0.02093948469407183,0.028237762008701168,0.8664919703061816
validation,both_with_local_features,random_forest_regressor,family,trotter_ising,2768,0.036986687936232714,0.04857240649921656,0.8649078197802158
validation,both_with_local_features,random_forest_regressor,qubit_count,2,2560,0.016248319966745806,0.024497872502292507,0.6518699366874755
validation,both_with_local_features,random_forest_regressor,qubit_count,3,5436,0.0442114923521215,0.07986170363874398,0.5642654094041656
validation,both_with_local_features,random_forest_regressor,qubit_count,4,6254,0.04045783973259191,0.07462942768275808,0.7307568148022312
validation,both_with_local_features,random_forest_regressor,qubit_count,5,6106,0.04329260240177405,0.07319651418048996,0.8049536259132035
validation,both_with_local_features,random_forest_regressor,qubit_count,6,4644,0.0458712174191432,0.07222859536580653,0.8625442405599892
validation,both_with_local_features,random_forest_regressor,compiler_variant,raw,12500,0.028222770134733254,0.03969618541466603,0.917715370173777
validation,both_with_local_features,random_forest_regressor,compiler_variant,transpiled,12500,0.052763091080335944,0.09307336215809198,0.8210007581358386
validation,both_with_local_features,random_forest_regressor,difficulty_bucket,q1,6982,0.03701114394333354,0.0765739815122967,0.7019099603351792
validation,both_with_local_features,random_forest_regressor,difficulty_bucket,q2,5948,0.038130821318554914,0.07136711226283982,0.8663435973834459
validation,both_with_local_features,random_forest_regressor,difficulty_bucket,q3,6368,0.040045037514656975,0.06597930850908593,0.8897146770993645
validation,both_with_local_features,random_forest_regressor,difficulty_bucket,q4,5702,0.04772054263064011,0.07134602897873366,0.8782512218190699
test,both_with_local_features,random_forest_regressor,overall,overall,25000,0.039550566835429776,0.0695259011895953,0.8585085852708045
test,both_with_local_features,random_forest_regressor,family,clean_control,1270,0.03299219712496901,0.0515503135573682,0.897895326720351
test,both_with_local_features,random_forest_regressor,family,decoherence_sensitive,2344,0.07446786996970081,0.1162552533900643,0.7776854213491178
test,both_with_local_features,random_forest_regressor,family,entanglement_heavy,2512,0.039843753031377334,0.050649163720567505,0.9327439046088841
test,both_with_local_features,random_forest_regressor,family,ghz_cat,2714,0.012194481799845181,0.015780385477429715,0.9653662922863963
test,both_with_local_features,random_forest_regressor,family,measurement_sensitive,2140,0.044194097061869705,0.07195046751446561,0.9082737468287516
test,both_with_local_features,random_forest_regressor,family,mirror_circuit,2222,0.01493156596583721,0.021627039859352035,0.8697808281151003
test,both_with_local_features,random_forest_regressor,family,mixed_random,1562,0.09687934164390295,0.15368840040106205,0.5140430089772763
test,both_with_local_features,random_forest_regressor,family,qaoa_like,2760,0.043676471336261694,0.056347401467208326,0.9199875356829121
test,both_with_local_features,random_forest_regressor,family,qft_lite,2284,0.036765331133695574,0.07172241778405075,0.9103063268013266
test,both_with_local_features,random_forest_regressor,family,routing_sensitive,2436,0.02077182553968323,0.029053665817279046,0.8532855094867297
test,both_with_local_features,random_forest_regressor,family,trotter_ising,2756,0.038073286995673535,0.05072272521164312,0.8577830695633074
test,both_with_local_features,random_forest_regressor,qubit_count,2,2590,0.01756058572197308,0.02771781541551617,0.5897761089234159
test,both_with_local_features,random_forest_regressor,qubit_count,3,5526,0.04276218543272021,0.07628380929152113,0.5799967180974825
test,both_with_local_features,random_forest_regressor,qubit_count,4,6140,0.03973687504204625,0.07262977838406304,0.7362433236981327
test,both_with_local_features,random_forest_regressor,qubit_count,5,6180,0.04203713560500908,0.07058496942106629,0.8118795218382164
test,both_with_local_features,random_forest_regressor,qubit_count,6,4564,0.044523336189198535,0.07178727697725575,0.8590505819313551
test,both_with_local_features,random_forest_regressor,compiler_variant,raw,12500,0.028219367628534723,0.03970255686599809,0.9136590015009757
test,both_with_local_features,random_forest_regressor,compiler_variant,transpiled,12500,0.05088176604232483,0.08995225873068961,0.8265053475073608
test,both_with_local_features,random_forest_regressor,difficulty_bucket,q1,7038,0.03621066067330588,0.07657879424562379,0.7003843877165339
test,both_with_local_features,random_forest_regressor,difficulty_bucket,q2,5896,0.036460873510921095,0.06756461319466771,0.8791872249444184
test,both_with_local_features,random_forest_regressor,difficulty_bucket,q3,6510,0.0397292294049161,0.06405948238605111,0.8921440994774107
test,both_with_local_features,random_forest_regressor,difficulty_bucket,q4,5556,0.04685078247311431,0.06833354599745663,0.8800475349087891
