family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
qft_lite,2284,281.49878172947024,60.96022182696041,0.12324815312148434,0.09136,0.15183552937343714,0.20537016637881492
measurement_sensitive,2140,222.7000004647227,51.70313799156066,0.10406542077790781,0.0856,0.12012049307738049,0.17418378302123522
mixed_random,1562,190.0303549349391,51.26298207801099,0.12165835783286755,0.06248,0.10249905651917769,0.17270093255761804
decoherence_sensitive,2344,225.43667660457285,42.677620106364095,0.09617605657191675,0.09376,0.12159660841921217,0.1437775270368119
clean_control,1270,114.41622548931674,20.19729241313126,0.09009151613332027,0.0508,0.06171411492209037,0.06804308086444454
qaoa_like,2760,168.8551185394916,16.504615174636996,0.061179390775178116,0.1104,0.0910775036159743,0.05560274327831335
entanglement_heavy,2512,159.81688681255756,15.546755027897943,0.06362137213875699,0.10048,0.0862024391825599,0.052375788195016135
trotter_ising,2756,146.6097596610482,13.069581041538239,0.053196574623021846,0.11024,0.07907874532416555,0.04403038493890513
routing_sensitive,2436,129.10149030996305,10.631317659235156,0.05299732771344953,0.09744,0.06963509043869068,0.035816068430668695
mirror_circuit,2222,107.44599388363893,7.91917747418275,0.04835553280091761,0.08888,0.05795449365765221,0.026679082633144155
ghz_cat,2714,108.06045909933279,6.358250370617091,0.03981593924072689,0.10856,0.05828592546965949,0.021420442665027996
