feature,importance_mean,importance_std
mean_interaction_degree,0.27698447913570323,0.0022313628596035808
original_num_single_qubit_gates,0.17395576473731655,0.0021689456066463866
unique_two_qubit_edge_count,0.17286365985296764,0.0018554192838816698
original_mean_qubit_gate_count,0.15788775665840757,0.0017325782553053249
original_mean_qubit_two_qubit_gate_count,0.1337697639242445,0.002454465309161279
original_mean_interaction_degree,0.09786484364408557,0.0012346418563554732
original_unique_two_qubit_edge_count,0.0707050893153604,0.0014553731143997642
num_cz,0.07018167869939759,0.0009432195111437124
interaction_graph_density,0.06859560739153592,0.0009582452535359281
original_num_cz,0.06450850445197098,0.0008587087723467207
max_qubit_two_qubit_gate_count,0.05594434018796774,0.0005591064773171563
num_single_qubit_gates,0.0483836724708537,0.0008038453400052738
circuit_depth,0.0481658641845656,0.0007332735224592932
original_max_qubit_gate_count,0.03339281439800276,0.0005816220523434436
num_cx,0.026515700199356104,0.0004109881236604072
long_range_interaction_score,0.024313732729318374,0.0003637381456706297
original_max_qubit_two_qubit_gate_count,0.018439272217770405,0.0003142648755360361
original_circuit_depth,0.017652004347391496,0.0003139837673986836
original_max_interaction_degree,0.01747760922639835,0.0005719635586929878
mean_qubit_gate_count,0.01695587391571262,0.00040278644598831917
max_qubit_gate_count,0.01515697780981685,0.0002262290075105886
active_qubit_fraction,0.00970265978228343,0.0003213851838730282
original_num_cx,0.009376240512664797,0.0003945419069418775
original_entanglement_density,0.007609409346548511,0.00036230424978463333
measurement_count,0.007503614961101792,0.00020644018627770873
qubit_count,0.007503614944855878,0.00020644018593813033
readout_error,0.006977029816131321,0.00021886235831354982
original_interaction_graph_density,0.004211505061176008,0.0001907784847674275
entanglement_density,0.0038626539160206263,0.00018491037494548987
original_long_range_interaction_score,0.0027391761649129473,9.192894420054887e-05
compiler_variant,0.002386955683569626,0.0003852336909350329
coupling_path_length,0.00191566599891921,0.0001232782741745728
original_active_qubit_fraction,0.0008112215973286752,6.715654228683357e-05
two_qubit_gate_error,0.0006516241518095406,6.210707185845279e-05
t1_mean,0.0002831978335260145,4.079684547309612e-05
max_interaction_degree,0.0002702566916775225,3.986877374933568e-05
t2_mean,7.158947670478366e-05,1.2376045906724246e-05
single_qubit_gate_error,6.191397111236611e-05,1.6083473454530587e-05
local_t1_mean,3.6059400593865115e-05,1.9508139343961358e-05
local_t2_mean,1.9084860109118418e-05,1.1352238724299345e-05
local_two_qubit_error_mean,8.67829642372045e-07,3.723325788625368e-07
local_two_qubit_error_max,8.678274925170981e-07,3.723316579647641e-07
mean_qubit_two_qubit_gate_count,-5.494002812190396e-05,4.042856959487391e-05
local_readout_error_max,-7.206670345408575e-05,1.1888575727252133e-05
local_readout_error_mean,-7.206670349326968e-05,1.1888575736367086e-05
