feature,source_feature,mean_abs_shap
mean_interaction_degree,mean_interaction_degree,0.24426839773118353
unique_two_qubit_edge_count,unique_two_qubit_edge_count,0.16834955809347607
original_num_single_qubit_gates,original_num_single_qubit_gates,0.165888131106121
original_mean_qubit_gate_count,original_mean_qubit_gate_count,0.1548723916417457
original_mean_qubit_two_qubit_gate_count,original_mean_qubit_two_qubit_gate_count,0.1385433535272467
original_mean_interaction_degree,original_mean_interaction_degree,0.10687552244614734
original_unique_two_qubit_edge_count,original_unique_two_qubit_edge_count,0.08929358824905863
interaction_graph_density,interaction_graph_density,0.08224748545789481
num_cz,num_cz,0.07907296566849706
original_num_cz,original_num_cz,0.07681299461841647
max_qubit_two_qubit_gate_count,max_qubit_two_qubit_gate_count,0.07636702066727542
num_single_qubit_gates,num_single_qubit_gates,0.06810694258611537
circuit_depth,circuit_depth,0.0601831191642623
original_max_qubit_gate_count,original_max_qubit_gate_count,0.04899389090254874
num_cx,num_cx,0.04363616881426861
long_range_interaction_score,long_range_interaction_score,0.04317832056364017
original_max_qubit_two_qubit_gate_count,original_max_qubit_two_qubit_gate_count,0.03963923268845349
original_max_interaction_degree,original_max_interaction_degree,0.03910821907171045
original_circuit_depth,original_circuit_depth,0.036922719313212934
max_qubit_gate_count,max_qubit_gate_count,0.03413335259226209
mean_qubit_gate_count,mean_qubit_gate_count,0.03238624337212005
original_num_cx,original_num_cx,0.025923245120429754
measurement_count,measurement_count,0.023216783667567523
qubit_count,qubit_count,0.023216783642622495
original_entanglement_density,original_entanglement_density,0.021449133249011824
readout_error,readout_error,0.02123160622403254
original_interaction_graph_density,original_interaction_graph_density,0.018898933194801328
active_qubit_fraction,active_qubit_fraction,0.017773124608671323
entanglement_density,entanglement_density,0.01474510366532874
compiler_variant_transpiled,compiler_variant,0.011235272067395906
compiler_variant_raw,compiler_variant,0.011235272064862323
original_long_range_interaction_score,original_long_range_interaction_score,0.011108738244373235
coupling_path_length,coupling_path_length,0.009985157869179943
two_qubit_gate_error,two_qubit_gate_error,0.005977603596613786
max_interaction_degree,max_interaction_degree,0.004221164333852798
t1_mean,t1_mean,0.003992365477276965
original_active_qubit_fraction,original_active_qubit_fraction,0.0036092592660216965
mean_qubit_two_qubit_gate_count,mean_qubit_two_qubit_gate_count,0.0032029639032010605
local_t1_mean,local_t1_mean,0.0016087082478027498
single_qubit_gate_error,single_qubit_gate_error,0.0014947943761016787
t2_mean,t2_mean,0.001402624614906045
local_t2_mean,local_t2_mean,0.0008625406962433829
local_readout_error_mean,local_readout_error_mean,0.0008174564150541842
local_readout_error_max,local_readout_error_max,0.0008174564145042465
local_two_qubit_error_mean,local_two_qubit_error_mean,1.509015232188493e-05
local_two_qubit_error_max,local_two_qubit_error_max,1.5090115002139647e-05
