family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
mixed_random,1562,147.38042029738426,33.542373755386336,0.09435366216221784,0.06248,0.15233591614282993,0.291542189689496
decoherence_sensitive,2344,176.1167504861951,32.083228139928266,0.07513513245998084,0.09376,0.18203847213406868,0.27885964936277985
measurement_sensitive,2140,96.80384902656078,11.268057562074834,0.045235443470355505,0.0856,0.10005876627205589,0.09793922753207196
qft_lite,2284,83.9366462379694,11.14472392581217,0.03674984511294632,0.09136,0.0867589187004417,0.09686724143351474
qaoa_like,2760,117.26239106059074,8.422932261379195,0.04248637357267781,0.1104,0.1212052030742575,0.0732100874254451
trotter_ising,2756,98.83609208464622,6.286676757417724,0.03586215242548847,0.11024,0.10215934114797003,0.05464227192427913
entanglement_heavy,2512,96.66860097646713,6.049599194906602,0.0384827233186573,0.10048,0.09991897066300567,0.05258165116425788
clean_control,1270,44.57446429133415,3.3932357449678223,0.03509800337900327,0.0508,0.046073228999447775,0.029493183351751516
routing_sensitive,2436,41.32550823688507,1.2004964620314809,0.016964494350117026,0.09744,0.04271503056261594,0.010434424522472788
mirror_circuit,2222,35.15860730409622,1.1243309089340947,0.01582295558240154,0.08888,0.03634077473227662,0.009772411980043298
ghz_cat,2714,29.406614243984222,0.5358710752825466,0.010835156316869647,0.10856,0.030395377571030273,0.004657661613887737
