split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,both_with_local_features,xgboost_regressor,overall,overall,25000,0.03972838337913156,0.0705710938064977,0.8598723318930854
validation,both_with_local_features,xgboost_regressor,family,clean_control,1212,0.03526463148125721,0.05342815508793763,0.9013670503499165
validation,both_with_local_features,xgboost_regressor,family,decoherence_sensitive,2340,0.07929770919597812,0.12584281760729524,0.7655013099074175
validation,both_with_local_features,xgboost_regressor,family,entanglement_heavy,2554,0.03777742580734573,0.047966246158084154,0.9398530653249848
validation,both_with_local_features,xgboost_regressor,family,ghz_cat,2690,0.011379157854278735,0.014839189571672158,0.9679696549251374
validation,both_with_local_features,xgboost_regressor,family,measurement_sensitive,2120,0.05004752693381512,0.08208884500831531,0.8858949721569678
validation,both_with_local_features,xgboost_regressor,family,mirror_circuit,2176,0.015892367700443548,0.022884871693916727,0.8474947870281724
validation,both_with_local_features,xgboost_regressor,family,mixed_random,1568,0.09471167783652033,0.14652608804593673,0.5296407614620344
validation,both_with_local_features,xgboost_regressor,family,qaoa_like,2762,0.043283108014891235,0.05623781796852993,0.9282243473261383
validation,both_with_local_features,xgboost_regressor,family,qft_lite,2280,0.03945374207799895,0.07463726279195142,0.9007995890594069
validation,both_with_local_features,xgboost_regressor,family,routing_sensitive,2530,0.016928133662981477,0.022121270875431635,0.9180654662153177
validation,both_with_local_features,xgboost_regressor,family,trotter_ising,2768,0.03478960150239096,0.04560410041346098,0.8809145354062624
validation,both_with_local_features,xgboost_regressor,qubit_count,2,2560,0.01753728894982487,0.02643117880656811,0.5947548234143508
validation,both_with_local_features,xgboost_regressor,qubit_count,3,5436,0.04433213063050404,0.07929555633535967,0.5704214403378967
validation,both_with_local_features,xgboost_regressor,qubit_count,4,6254,0.04077297265408784,0.07427580556082788,0.7333023193923218
validation,both_with_local_features,xgboost_regressor,qubit_count,5,6106,0.04010827428653051,0.06998652965194756,0.8216857706410978
validation,both_with_local_features,xgboost_regressor,qubit_count,6,4644,0.04466610010488731,0.07207936225560181,0.8631116545948593
validation,both_with_local_features,xgboost_regressor,compiler_variant,raw,12500,0.027233506956100464,0.038186789881778316,0.9238539338231285
validation,both_with_local_features,xgboost_regressor,compiler_variant,transpiled,12500,0.05222325980216265,0.09220806711245991,0.8243135678870017
validation,both_with_local_features,xgboost_regressor,difficulty_bucket,q1,6982,0.036583756152417726,0.0756869491118156,0.7087761053253716
validation,both_with_local_features,xgboost_regressor,difficulty_bucket,q2,5948,0.03857340512981371,0.07102715338295518,0.867613915258637
validation,both_with_local_features,xgboost_regressor,difficulty_bucket,q3,6368,0.03841107613617676,0.06485521348088275,0.8934405460785005
validation,both_with_local_features,xgboost_regressor,difficulty_bucket,q4,5702,0.04625490222286965,0.06972237302943705,0.8837295589492364
test,both_with_local_features,xgboost_regressor,overall,overall,25000,0.038698797769844535,0.06783849225568654,0.8652932962535624
test,both_with_local_features,xgboost_regressor,family,clean_control,1270,0.03509800337900327,0.051689836227889155,0.8973418792538908
test,both_with_local_features,xgboost_regressor,family,decoherence_sensitive,2344,0.07513513245998084,0.11699309389336077,0.7748545258619453
test,both_with_local_features,xgboost_regressor,family,entanglement_heavy,2512,0.0384827233186573,0.049074228820003944,0.9368615291530169
test,both_with_local_features,xgboost_regressor,family,ghz_cat,2714,0.010835156316869647,0.014051582456148508,0.9725391330272498
test,both_with_local_features,xgboost_regressor,family,measurement_sensitive,2140,0.045235443470355505,0.0725634030273765,0.906704285095741
test,both_with_local_features,xgboost_regressor,family,mirror_circuit,2222,0.01582295558240154,0.02249443284395585,0.8591259944756662
test,both_with_local_features,xgboost_regressor,family,mixed_random,1562,0.09435366216221784,0.14654006578587653,0.5581972470191232
test,both_with_local_features,xgboost_regressor,family,qaoa_like,2760,0.04248637357267781,0.05524298191828846,0.9230933158758327
test,both_with_local_features,xgboost_regressor,family,qft_lite,2284,0.03674984511294632,0.06985324849129362,0.9149204503500636
test,both_with_local_features,xgboost_regressor,family,routing_sensitive,2436,0.016964494350117026,0.022199428812156266,0.9143446021484636
test,both_with_local_features,xgboost_regressor,family,trotter_ising,2756,0.03586215242548847,0.04776073028706325,0.8739078470698608
test,both_with_local_features,xgboost_regressor,qubit_count,2,2590,0.01846719867474324,0.02842439281702345,0.5685948296183796
test,both_with_local_features,xgboost_regressor,qubit_count,3,5526,0.04283733130407385,0.075391847664692,0.5897612177911185
test,both_with_local_features,xgboost_regressor,qubit_count,4,6140,0.040050848051662945,0.07175120533685035,0.7425858444353867
test,both_with_local_features,xgboost_regressor,qubit_count,5,6180,0.038375759054831315,0.06546111737635125,0.8382000286262704
test,both_with_local_features,xgboost_regressor,qubit_count,6,4564,0.043787556725711704,0.07169095538626916,0.8594285699135379
test,both_with_local_features,xgboost_regressor,compiler_variant,raw,12500,0.02707157801389694,0.038071250770858975,0.9206084274940565
test,both_with_local_features,xgboost_regressor,compiler_variant,transpiled,12500,0.05032601752579212,0.0880607854143492,0.8337249617511184
test,both_with_local_features,xgboost_regressor,difficulty_bucket,q1,7038,0.035477688884863835,0.0733600797507623,0.7250416067230494
test,both_with_local_features,xgboost_regressor,difficulty_bucket,q2,5896,0.037063454835090576,0.0669853979150936,0.8812497442316549
test,both_with_local_features,xgboost_regressor,difficulty_bucket,q3,6510,0.03752078014882296,0.0623214277502378,0.8979173707165446
test,both_with_local_features,xgboost_regressor,difficulty_bucket,q4,5556,0.04589480946686647,0.06766032533439427,0.8823994304880064
