feature,importance
measurement_count,0.18278299172318627
qubit_count,0.17445994761708725
original_num_single_qubit_gates,0.11209333367282931
entanglement_density,0.08743679430643368
original_entanglement_density,0.06393738636308192
long_range_interaction_score,0.05571356864677044
num_single_qubit_gates,0.043635120601772694
original_long_range_interaction_score,0.040118098043693394
readout_error,0.03750313787412858
original_max_qubit_two_qubit_gate_count,0.028335992760596253
original_mean_qubit_gate_count,0.014861645307144433
compiler_variant_transpiled,0.014747695319392962
compiler_variant_raw,0.014533570428548201
original_unique_two_qubit_edge_count,0.012180138956948664
mean_qubit_gate_count,0.010994523975217078
t2_mean,0.010432363904581736
circuit_depth,0.008965847574025436
original_num_cx,0.008942629437195995
t1_mean,0.00839056297547643
unique_two_qubit_edge_count,0.007862840276660777
max_qubit_gate_count,0.006943492262416511
two_qubit_gate_error,0.006014028168446699
original_num_cz,0.005054086285741067
original_mean_interaction_degree,0.004725728493124072
mean_qubit_two_qubit_gate_count,0.0045541194929563525
original_circuit_depth,0.004318982925857993
max_qubit_two_qubit_gate_count,0.004307452306527877
single_qubit_gate_error,0.0040233036962043795
num_cx,0.0034422706311540803
num_cz,0.003417803170016937
original_max_qubit_gate_count,0.0031546767408896738
original_mean_qubit_two_qubit_gate_count,0.0030203985186443606
interaction_graph_density,0.0021638109415584787
mean_interaction_degree,0.002042301724571824
original_interaction_graph_density,0.0018609527672666085
max_interaction_degree,0.0015578243868949189
original_max_interaction_degree,0.0007317759334359046
active_qubit_fraction,0.00040967027528516754
original_active_qubit_fraction,0.0003291315142355813
