feature,importance_mean,importance_std
measurement_count,0.03891685021788834,0.0002267221912123972
qubit_count,0.037229145004900314,0.00016574709258457553
original_num_single_qubit_gates,0.032646487139153524,0.0007520501511271501
original_entanglement_density,0.026013800738937155,0.00038917185872952055
long_range_interaction_score,0.02289788410909315,0.0009836273567021693
num_single_qubit_gates,0.02131406713465848,0.0005401793166992153
compiler_variant,0.016945140112097266,0.0004500430366121919
entanglement_density,0.015428780474254248,0.0005044369273219446
readout_error,0.014869664363057734,0.0003268754786276293
original_long_range_interaction_score,0.0147962881404148,0.00044343190490864367
original_max_qubit_two_qubit_gate_count,0.013895487480602601,0.0006557779213803159
original_mean_qubit_gate_count,0.004897314852209063,0.00015812831514595922
mean_qubit_gate_count,0.004173174894725121,0.00017203521992882107
circuit_depth,0.0038220440704735664,0.00022890371755234813
original_num_cz,0.0034025075627381017,7.28568931788259e-05
original_num_cx,0.0025953599519186474,0.00012839915559153148
num_cz,0.002590547572426636,0.00014255822899273806
original_unique_two_qubit_edge_count,0.002305780637944041,0.00017843953080950742
mean_qubit_two_qubit_gate_count,0.0019274133221382841,7.707912514441114e-05
max_qubit_gate_count,0.0017729599083751192,0.00012672338585484777
t2_mean,0.001594047757445872,0.0001330558488308923
t1_mean,0.001337323270091068,0.00011147457923200643
original_interaction_graph_density,0.0012729405745957332,3.976165789566953e-05
max_qubit_two_qubit_gate_count,0.0012166983513978505,6.956853351099853e-05
num_cx,0.0011221072233737767,9.835015255740421e-05
unique_two_qubit_edge_count,0.0010629576285746583,5.7663636280408976e-05
interaction_graph_density,0.001044292042027978,8.948134473675256e-05
original_max_qubit_gate_count,0.0009323885262614356,7.514743849609739e-05
two_qubit_gate_error,0.0008605631523160243,8.496201650658656e-05
original_circuit_depth,0.0008063686472053284,6.619679606230267e-05
max_interaction_degree,0.0007876320699713646,5.75603665581971e-05
original_mean_qubit_two_qubit_gate_count,0.0007672641425991158,5.38273867123533e-05
original_mean_interaction_degree,0.0005992576924875107,2.5843503770101606e-05
mean_interaction_degree,0.0004667536366998572,3.372756426340926e-05
original_max_interaction_degree,0.00016552901815261936,2.6589472783767992e-05
active_qubit_fraction,0.00015814791239963672,1.6504565957769392e-05
single_qubit_gate_error,3.386982305069418e-05,6.324456456307934e-05
original_active_qubit_fraction,-2.4237567275223193e-06,6.28381815872e-06
