feature,source_feature,mean_abs_shap
measurement_count,measurement_count,0.04654880448456002
qubit_count,qubit_count,0.04437416693539322
original_num_single_qubit_gates,original_num_single_qubit_gates,0.025996287363070688
long_range_interaction_score,long_range_interaction_score,0.01934684004079608
original_entanglement_density,original_entanglement_density,0.018804718238455177
readout_error,readout_error,0.017985930506543416
compiler_variant_transpiled,compiler_variant,0.012959403545102036
compiler_variant_raw,compiler_variant,0.01264026188552922
original_max_qubit_two_qubit_gate_count,original_max_qubit_two_qubit_gate_count,0.0125295039808497
entanglement_density,entanglement_density,0.01203201661151168
num_single_qubit_gates,num_single_qubit_gates,0.010672390665576004
original_long_range_interaction_score,original_long_range_interaction_score,0.010077533919450338
t2_mean,t2_mean,0.004991226461557464
original_mean_qubit_gate_count,original_mean_qubit_gate_count,0.003982006208937
t1_mean,t1_mean,0.00393094772280761
mean_qubit_gate_count,mean_qubit_gate_count,0.0033952845476837635
original_unique_two_qubit_edge_count,original_unique_two_qubit_edge_count,0.0027109934802634476
circuit_depth,circuit_depth,0.0024377449571154116
two_qubit_gate_error,two_qubit_gate_error,0.0023766621928933054
original_num_cx,original_num_cx,0.002274006432438159
mean_qubit_two_qubit_gate_count,mean_qubit_two_qubit_gate_count,0.00204804615032164
original_num_cz,original_num_cz,0.0018134284297961299
original_circuit_depth,original_circuit_depth,0.00178191886271702
max_qubit_two_qubit_gate_count,max_qubit_two_qubit_gate_count,0.001712276020110956
max_qubit_gate_count,max_qubit_gate_count,0.001627347632818561
num_cx,num_cx,0.0014976601031300332
original_mean_interaction_degree,original_mean_interaction_degree,0.0013740190601944082
num_cz,num_cz,0.0013472992177246655
original_mean_qubit_two_qubit_gate_count,original_mean_qubit_two_qubit_gate_count,0.0012386064714012047
interaction_graph_density,interaction_graph_density,0.001225981258510992
unique_two_qubit_edge_count,unique_two_qubit_edge_count,0.0011722343405610519
original_max_qubit_gate_count,original_max_qubit_gate_count,0.001112648818978544
original_interaction_graph_density,original_interaction_graph_density,0.0010129860074589618
max_interaction_degree,max_interaction_degree,0.0007040216282175614
mean_interaction_degree,mean_interaction_degree,0.0005277952138137054
single_qubit_gate_error,single_qubit_gate_error,0.0004682634548759031
original_max_interaction_degree,original_max_interaction_degree,0.00019595343192083133
active_qubit_fraction,active_qubit_fraction,0.00013334927030830132
original_active_qubit_fraction,original_active_qubit_fraction,8.851916659262859e-05
