family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
qft_lite,2284,278.3701988332069,60.566301469088565,0.12187837076760373,0.09136,0.15122768022131974,0.20267745495890027
measurement_sensitive,2140,221.501422941358,52.697585070667294,0.10350533782306448,0.0856,0.1203330906021794,0.1763457923884305
mixed_random,1562,190.95123661558196,52.218974554931904,0.12224791076541738,0.06248,0.10373636499095687,0.17474418293081284
decoherence_sensitive,2344,223.24512643473597,42.64502996574116,0.09524109489536517,0.09376,0.12128037675350828,0.1427061902486106
clean_control,1270,114.118369881111,20.778670403608725,0.08985698415835511,0.0508,0.06199606286914158,0.0695331881373442
qaoa_like,2760,168.76620718534346,16.68833926546152,0.06114717651642879,0.1104,0.09168410310933603,0.05584541317155854
entanglement_heavy,2512,158.61402385637012,15.39648476565819,0.0631425254205295,0.10048,0.08616881756347879,0.05152238574795116
trotter_ising,2756,148.27474650892736,13.195910718604171,0.0538007062804526,0.11024,0.08055189112892365,0.044158443481587976
routing_sensitive,2436,128.75255376488818,10.52055459350442,0.052854086110381025,0.09744,0.06994624464129989,0.03520570313932579
mirror_circuit,2222,101.52031824772212,7.342636464087714,0.04568871208268322,0.08888,0.05515203239529282,0.024571202717227954
ghz_cat,2714,106.62155538676342,6.780487695104408,0.039285761012072005,0.10856,0.057923335724562965,0.022690043078250087
