feature,importance
mean_interaction_degree,0.33436114275845824
unique_two_qubit_edge_count,0.21738589820732163
original_num_single_qubit_gates,0.2094342915303927
original_mean_interaction_degree,0.16883476823442634
original_mean_qubit_gate_count,0.1624148196531797
original_mean_qubit_two_qubit_gate_count,0.14547531115093715
max_qubit_two_qubit_gate_count,0.139396597418448
num_cz,0.13033067430125395
original_unique_two_qubit_edge_count,0.12976015655654552
original_num_cz,0.12728302703833758
interaction_graph_density,0.1037010664994642
circuit_depth,0.09010002858299421
num_single_qubit_gates,0.08431851381465046
num_cx,0.06729034295788121
long_range_interaction_score,0.0516491371162555
original_circuit_depth,0.04731740291514006
original_max_qubit_gate_count,0.04720088582351811
original_max_interaction_degree,0.044905030792724385
original_num_cx,0.03659331419398997
active_qubit_fraction,0.03408163183512819
original_entanglement_density,0.03154334089242457
measurement_count,0.028094232719429145
qubit_count,0.028094232680323263
original_max_qubit_two_qubit_gate_count,0.02620566100921729
original_interaction_graph_density,0.02618682531129972
mean_qubit_two_qubit_gate_count,0.02585264130998087
readout_error,0.024082249315492306
max_qubit_gate_count,0.020314938980659624
entanglement_density,0.017999295248421067
compiler_variant_transpiled,0.016922025498868995
compiler_variant_raw,0.016922025492926714
original_long_range_interaction_score,0.01403295206188716
original_active_qubit_fraction,0.0095808563942177
mean_qubit_gate_count,0.007850638750332414
two_qubit_gate_error,0.007306690499900913
max_interaction_degree,0.003273523337458532
t1_mean,0.0027458748877152647
t2_mean,0.0023708575809516675
single_qubit_gate_error,0.0017980879326785395
