split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,both_without_local_features,ridge_regression,overall,overall,25000,0.07482000394303369,0.11196454509557803,0.6472790648836755
validation,both_without_local_features,ridge_regression,family,clean_control,1212,0.09719045652997853,0.13650072301899616,0.3561991160216256
validation,both_without_local_features,ridge_regression,family,decoherence_sensitive,2340,0.09810467109113467,0.14101299699964256,0.7055565892468756
validation,both_without_local_features,ridge_regression,family,entanglement_heavy,2554,0.06285129146831052,0.07826701482557605,0.8398600920145323
validation,both_without_local_features,ridge_regression,family,ghz_cat,2690,0.03819297388960476,0.04868007847208771,0.655298009898716
validation,both_without_local_features,ridge_regression,family,measurement_sensitive,2120,0.11015613015694697,0.16570017976650933,0.5350754813636294
validation,both_without_local_features,ridge_regression,family,mirror_circuit,2176,0.04562268181733283,0.05752560063153605,0.036370583476463936
validation,both_without_local_features,ridge_regression,family,mixed_random,1568,0.12005419036937845,0.18106151209855048,0.2817889963560497
validation,both_without_local_features,ridge_regression,family,qaoa_like,2762,0.0636650590543636,0.08155418520792404,0.8490570848531076
validation,both_without_local_features,ridge_regression,family,qft_lite,2280,0.12364682296913104,0.1664545594992501,0.5066064645976318
validation,both_without_local_features,ridge_regression,family,routing_sensitive,2530,0.052252119185192195,0.06545630114808305,0.28261918205393954
validation,both_without_local_features,ridge_regression,family,trotter_ising,2768,0.05378345507673946,0.06872565846636813,0.7295488777395043
validation,both_without_local_features,ridge_regression,qubit_count,2,2560,0.03831388665787117,0.04936404249480802,-0.41353388562218063
validation,both_without_local_features,ridge_regression,qubit_count,3,5436,0.06912815951466947,0.10493955633262436,0.24764407745136874
validation,both_without_local_features,ridge_regression,qubit_count,4,6254,0.07781430690811096,0.11859326820937272,0.32010073355501223
validation,both_without_local_features,ridge_regression,qubit_count,5,6106,0.08040679219920355,0.12122283892758534,0.4650342430312576
validation,both_without_local_features,ridge_regression,qubit_count,6,4644,0.09022853682994966,0.12243428731412252,0.6050421788245786
validation,both_without_local_features,ridge_regression,compiler_variant,raw,12500,0.053920469566675476,0.0688836230825933,0.752227483244719
validation,both_without_local_features,ridge_regression,compiler_variant,transpiled,12500,0.09571953831939192,0.14257336773722737,0.5799730053003358
validation,both_without_local_features,ridge_regression,difficulty_bucket,q1,6982,0.07006753216964667,0.11129082465311382,0.37034344685596676
validation,both_without_local_features,ridge_regression,difficulty_bucket,q2,5948,0.09444557192968721,0.14362722378697892,0.4586638232675452
validation,both_without_local_features,ridge_regression,difficulty_bucket,q3,6368,0.06898363611083173,0.09440676891189771,0.7742080428839269
validation,both_without_local_features,ridge_regression,difficulty_bucket,q4,5702,0.06668511616552321,0.09124151793391626,0.800882237567738
test,both_without_local_features,ridge_regression,overall,overall,25000,0.07362943038624034,0.10933086937666928,0.6501173249175458
test,both_without_local_features,ridge_regression,family,clean_control,1270,0.08985698415835511,0.12791074152750856,0.37136720948414415
test,both_without_local_features,ridge_regression,family,decoherence_sensitive,2344,0.09524109489536518,0.13488243832940147,0.7007366138658824
test,both_without_local_features,ridge_regression,family,entanglement_heavy,2512,0.0631425254205295,0.0782890405591946,0.8393099322446042
test,both_without_local_features,ridge_regression,family,ghz_cat,2714,0.039285761012072005,0.049983371203528436,0.6525319630146933
test,both_without_local_features,ridge_regression,family,measurement_sensitive,2140,0.10350533782306448,0.15692367492717046,0.5636817751585373
test,both_without_local_features,ridge_regression,family,mirror_circuit,2222,0.04568871208268322,0.05748492724641411,0.07999806677404031
test,both_without_local_features,ridge_regression,family,mixed_random,1562,0.12224791076541741,0.1828410281760181,0.31219874644374135
test,both_without_local_features,ridge_regression,family,qaoa_like,2760,0.06114717651642879,0.07775924211219441,0.8476249367063492
test,both_without_local_features,ridge_regression,family,qft_lite,2284,0.12187837076760373,0.162842393517693,0.5376329025954929
test,both_without_local_features,ridge_regression,family,routing_sensitive,2436,0.052854086110381025,0.0657174457343892,0.24935864633826854
test,both_without_local_features,ridge_regression,family,trotter_ising,2756,0.0538007062804526,0.06919585463362359,0.7353290368525082
test,both_without_local_features,ridge_regression,qubit_count,2,2590,0.04018574791602991,0.05269712163238321,-0.4827800754801095
test,both_without_local_features,ridge_regression,qubit_count,3,5526,0.06917573291079174,0.10327455054382935,0.23020591865065898
test,both_without_local_features,ridge_regression,qubit_count,4,6140,0.07568515546443921,0.11383892148359155,0.352029001223783
test,both_without_local_features,ridge_regression,qubit_count,5,6180,0.07872955729844064,0.11808135581814276,0.47352921728913466
test,both_without_local_features,ridge_regression,qubit_count,6,4564,0.0883291090780973,0.12112637249393826,0.5987216313260311
test,both_without_local_features,ridge_regression,compiler_variant,raw,12500,0.05311193656828884,0.06786592168039197,0.7477195383584111
test,both_without_local_features,ridge_regression,compiler_variant,transpiled,12500,0.09414692420419185,0.13892694005047238,0.5861576918540311
test,both_without_local_features,ridge_regression,difficulty_bucket,q1,7038,0.06898284010109969,0.10908204501571749,0.3920694975648006
test,both_without_local_features,ridge_regression,difficulty_bucket,q2,5896,0.09246903986313192,0.13949624846741301,0.4850093706855191
test,both_without_local_features,ridge_regression,difficulty_bucket,q3,6510,0.06781572316994022,0.09258901930223912,0.7746819276270895
test,both_without_local_features,ridge_regression,difficulty_bucket,q4,5556,0.06633490175578338,0.08954192770850523,0.7940346608620712
