feature,importance_mean,importance_std
qubit_count,0.02810604756110148,0.0005677736242876215
measurement_count,0.022437971684592755,0.00047916261128315836
readout_error,0.017872067992804455,0.0004530283891345737
original_num_single_qubit_gates,0.009581922155516742,0.00026300718133998453
num_single_qubit_gates,0.008475836906487549,0.0002446124636091951
original_entanglement_density,0.007244007176593975,0.00021619253134935656
entanglement_density,0.006505388215080479,0.00020151761788188283
original_unique_two_qubit_edge_count,0.0023758667426812255,0.00011885976757747265
original_mean_interaction_degree,0.002354922358568745,0.00010634640339999841
num_cx,0.002159127140205094,7.849461479596782e-05
original_num_cx,0.0019619433900270994,7.711518344018539e-05
unique_two_qubit_edge_count,0.0019604992888577967,0.00010261182051147061
two_qubit_gate_error,0.0017935644374655465,9.794094504652552e-05
mean_interaction_degree,0.0017648943354848338,8.828590408974214e-05
original_num_cz,0.0016480881179772905,6.14605400146247e-05
num_cz,0.0015542561813935247,7.535915434748043e-05
t2_mean,0.0014539082500793364,7.897996812194632e-05
mean_qubit_gate_count,0.0012585795525889968,0.00010024330863951439
original_mean_qubit_gate_count,0.0012495871448981533,9.628586466665963e-05
long_range_interaction_score,0.0011424362101609478,5.6045122266826366e-05
t1_mean,0.000996275321135638,5.743846795960052e-05
mean_qubit_two_qubit_gate_count,0.0009584591043423508,4.220735621990787e-05
original_mean_qubit_two_qubit_gate_count,0.0008861656543725275,4.407580647895041e-05
interaction_graph_density,0.0008763138004655932,6.220596599473016e-05
max_qubit_two_qubit_gate_count,0.0008289905704256771,2.6596183376672565e-05
original_max_qubit_two_qubit_gate_count,0.0008034133035827915,3.12102964207042e-05
original_long_range_interaction_score,0.000790661023724412,4.2320768186490806e-05
original_interaction_graph_density,0.0006846307369607675,5.018189869103924e-05
max_interaction_degree,0.0005387604924481978,2.300088669380549e-05
circuit_depth,0.0005330596891394415,5.4656079049924016e-05
original_circuit_depth,0.00044080966628657443,4.539653300796298e-05
original_max_interaction_degree,0.00041562866938498746,2.066167203281424e-05
max_qubit_gate_count,0.00022452653070639166,2.9528318879176593e-05
original_max_qubit_gate_count,0.00021601410474155185,3.3704922107594757e-05
single_qubit_gate_error,3.2820208645687344e-05,1.9197322885593706e-05
original_active_qubit_fraction,1.438977709258089e-05,2.2864537011949587e-06
active_qubit_fraction,1.3163768765849654e-05,2.65398452990961e-06
