split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,raw_only,random_forest_regressor,overall,overall,12500,0.026429201100590948,0.037841350371663536,0.9252253445595389
validation,raw_only,random_forest_regressor,family,clean_control,606,0.027495036062149408,0.03721505934063512,0.7450025045851889
validation,raw_only,random_forest_regressor,family,decoherence_sensitive,1170,0.03154913186452665,0.04362174382237035,0.8421730174655436
validation,raw_only,random_forest_regressor,family,entanglement_heavy,1277,0.03808149515465714,0.04845019213624392,0.938633261462084
validation,raw_only,random_forest_regressor,family,ghz_cat,1345,0.010235389678427862,0.01316831969813166,0.9747766959567661
validation,raw_only,random_forest_regressor,family,measurement_sensitive,1060,0.02929514182438806,0.04110525436919609,0.8908471945522473
validation,raw_only,random_forest_regressor,family,mirror_circuit,1088,0.013725216605613141,0.019351166566301606,0.8907767572437691
validation,raw_only,random_forest_regressor,family,mixed_random,784,0.03414440043642027,0.045442846602923866,0.6271050991531724
validation,raw_only,random_forest_regressor,family,qaoa_like,1381,0.04109571237484852,0.05210252168086117,0.9319909560076717
validation,raw_only,random_forest_regressor,family,qft_lite,1140,0.009675277671029704,0.013884997061940182,0.9759638789605973
validation,raw_only,random_forest_regressor,family,routing_sensitive,1265,0.01926157740868611,0.02517454778406177,0.8889214908209375
validation,raw_only,random_forest_regressor,family,trotter_ising,1384,0.035758585616117,0.04667553375073384,0.8752531595544483
validation,raw_only,random_forest_regressor,qubit_count,2,1280,0.0166694237813872,0.024977392433708733,0.6371788054021224
validation,raw_only,random_forest_regressor,qubit_count,3,2718,0.02339245423438471,0.03386053929122832,0.6003222913969293
validation,raw_only,random_forest_regressor,qubit_count,4,3127,0.025815053135127303,0.038009393470391166,0.6907662671927339
validation,raw_only,random_forest_regressor,qubit_count,5,3053,0.027514821649072194,0.037515131208607784,0.8275724761231037
validation,raw_only,random_forest_regressor,qubit_count,6,2322,0.03476358271317531,0.04718789415067706,0.9075650663393905
validation,raw_only,random_forest_regressor,compiler_variant,raw,12500,0.026429201100590948,0.037841350371663536,0.9252253445595389
validation,raw_only,random_forest_regressor,difficulty_bucket,q1,3491,0.019444123076991098,0.028819972515371644,0.8773934811152176
validation,raw_only,random_forest_regressor,difficulty_bucket,q2,2974,0.020393390914221585,0.030500522730104052,0.913173277481851
validation,raw_only,random_forest_regressor,difficulty_bucket,q3,3184,0.028344166628006272,0.039305978972260514,0.9208901082604163
validation,raw_only,random_forest_regressor,difficulty_bucket,q4,2851,0.03913988389096596,0.050650604110070406,0.9238364650136855
test,raw_only,random_forest_regressor,overall,overall,12500,0.026265087035633915,0.0376498869016618,0.9223560778009109
test,raw_only,random_forest_regressor,family,clean_control,635,0.028251228104937496,0.0375358958661529,0.7551685892567502
test,raw_only,random_forest_regressor,family,decoherence_sensitive,1172,0.031175021244663145,0.04298085967584774,0.8359371205773383
test,raw_only,random_forest_regressor,family,entanglement_heavy,1256,0.038508021634156724,0.049064949195217956,0.9368854050625522
test,raw_only,random_forest_regressor,family,ghz_cat,1357,0.01018423778311183,0.013128864374368072,0.9760272367854198
test,raw_only,random_forest_regressor,family,measurement_sensitive,1070,0.027042117429653057,0.03807751331572054,0.9006062747145125
test,raw_only,random_forest_regressor,family,mirror_circuit,1111,0.014126795373943816,0.0205496285165849,0.8822801918988646
test,raw_only,random_forest_regressor,family,mixed_random,781,0.03360418488045884,0.04417142532206403,0.6440786938659301
test,raw_only,random_forest_regressor,family,qaoa_like,1380,0.040192674862339496,0.05124146464971213,0.9271307251681905
test,raw_only,random_forest_regressor,family,qft_lite,1142,0.010223006061092844,0.014413067002489233,0.9742437036754051
test,raw_only,random_forest_regressor,family,routing_sensitive,1218,0.019407968204649833,0.02502408111516241,0.8880998992394169
test,raw_only,random_forest_regressor,family,trotter_ising,1378,0.036281984142947095,0.048443221635486984,0.8702784356152397
test,raw_only,random_forest_regressor,qubit_count,2,1295,0.01752129536834334,0.02581647481407961,0.6265669915350329
test,raw_only,random_forest_regressor,qubit_count,3,2763,0.024182670143878416,0.034941097315762185,0.5797658275573359
test,raw_only,random_forest_regressor,qubit_count,4,3070,0.025920722397443915,0.03726904250660441,0.6999783630295615
test,raw_only,random_forest_regressor,qubit_count,5,3090,0.027119728561420323,0.03811528242210188,0.8162833529044407
test,raw_only,random_forest_regressor,qubit_count,6,2282,0.03305443199865978,0.0455239256822871,0.9094226431663868
test,raw_only,random_forest_regressor,compiler_variant,raw,12500,0.026265087035633915,0.0376498869016618,0.9223560778009109
test,raw_only,random_forest_regressor,difficulty_bucket,q1,3519,0.019432911911939146,0.028641157593045308,0.8861825371563383
test,raw_only,random_forest_regressor,difficulty_bucket,q2,2948,0.020218900549019106,0.029561500755174372,0.9185351512427292
test,raw_only,random_forest_regressor,difficulty_bucket,q3,3255,0.02853328305187796,0.039919960457563644,0.9134169322464829
test,raw_only,random_forest_regressor,difficulty_bucket,q4,2778,0.038678191423664146,0.05044385234014459,0.9203329180053379
