family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
entanglement_heavy,1256,76.8507852351896,7.433440779175693,0.06118693091973695,0.10048,0.12916838403623696,0.15595158524586208
trotter_ising,1378,75.21768791634156,6.937944028241104,0.05458467918457298,0.11024,0.1264235253987624,0.1455561968802347
qaoa_like,1380,76.1644312479554,6.822368224407846,0.0551916168463445,0.1104,0.12801478182987622,0.14313144764777225
qft_lite,1142,66.47133231645616,6.291573775676376,0.05820607032964637,0.09136,0.11172292584618708,0.1319955230902949
decoherence_sensitive,1172,61.36902228973054,5.101951304171454,0.05236264700488954,0.09376,0.10314712354322951,0.10703756407957334
measurement_sensitive,1070,49.3271068119614,3.766849248637153,0.04610009982426299,0.0856,0.08290745054308736,0.07902748258287617
routing_sensitive,1218,54.30060110637492,3.685505262007176,0.04458177430736857,0.09744,0.0912667434124682,0.0773209076545198
mixed_random,781,32.441827320168954,2.108444152126026,0.04153883139586294,0.06248,0.05452720355822827,0.04423459037268126
ghz_cat,1357,41.689712749806866,2.0308878782450335,0.03072196960192105,0.10856,0.07007075868317472,0.04260748063752517
clean_control,635,28.703439869511197,2.0095626151620682,0.045202267511041255,0.0508,0.048243839446527555,0.04216008236230244
mirror_circuit,1111,32.4299637855818,1.4765270338210805,0.029189886395663184,0.08888,0.05450726370222171,0.030977139446357816
