feature,source_feature,mean_abs_shap
mean_interaction_degree,mean_interaction_degree,0.06372827417713813
original_mean_interaction_degree,original_mean_interaction_degree,0.06372827417255969
num_single_qubit_gates,num_single_qubit_gates,0.05563005020488764
original_num_single_qubit_gates,original_num_single_qubit_gates,0.055630050180604025
unique_two_qubit_edge_count,unique_two_qubit_edge_count,0.04481415692162454
original_unique_two_qubit_edge_count,original_unique_two_qubit_edge_count,0.0448141569178269
original_mean_qubit_gate_count,original_mean_qubit_gate_count,0.039142111166446864
mean_qubit_gate_count,mean_qubit_gate_count,0.03914211116419379
interaction_graph_density,interaction_graph_density,0.03598395536620732
original_interaction_graph_density,original_interaction_graph_density,0.035983955357591454
mean_qubit_two_qubit_gate_count,mean_qubit_two_qubit_gate_count,0.028848714236158698
original_mean_qubit_two_qubit_gate_count,original_mean_qubit_two_qubit_gate_count,0.028848714234538518
original_max_qubit_gate_count,original_max_qubit_gate_count,0.027796370457478646
max_qubit_gate_count,max_qubit_gate_count,0.02779637044095946
max_qubit_two_qubit_gate_count,max_qubit_two_qubit_gate_count,0.022427752848283435
original_max_qubit_two_qubit_gate_count,original_max_qubit_two_qubit_gate_count,0.022427752846782133
readout_error,readout_error,0.021579847528503563
circuit_depth,circuit_depth,0.02121390561220342
original_circuit_depth,original_circuit_depth,0.021213905596086116
long_range_interaction_score,long_range_interaction_score,0.017401321766806532
original_long_range_interaction_score,original_long_range_interaction_score,0.01740132175322355
original_num_cx,original_num_cx,0.016984634990844568
num_cx,num_cx,0.016984634986469113
max_interaction_degree,max_interaction_degree,0.0097349961139342
original_max_interaction_degree,original_max_interaction_degree,0.009734996110984469
num_cz,num_cz,0.008590889185809567
original_num_cz,original_num_cz,0.00859088917314064
qubit_count,qubit_count,0.008185836607634556
measurement_count,measurement_count,0.008185836575329118
two_qubit_gate_error,two_qubit_gate_error,0.00613969592098711
entanglement_density,entanglement_density,0.003674050412039685
original_entanglement_density,original_entanglement_density,0.003674050391684821
t1_mean,t1_mean,0.0035479798997092166
t2_mean,t2_mean,0.0018177856100153728
single_qubit_gate_error,single_qubit_gate_error,0.0016312120527023413
original_active_qubit_fraction,original_active_qubit_fraction,0.0001266942838361938
active_qubit_fraction,active_qubit_fraction,0.00012669428382718246
