family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
qaoa_like,1380,54.957435607910156,3.612590047835795,0.03982422870138417,0.1104,0.17025714731534747,0.21120500741347356
trotter_ising,1378,49.02715873718262,3.0879087949300654,0.03557848964962454,0.11024,0.1518852562030385,0.18053025427450292
entanglement_heavy,1256,48.17136001586914,2.982182162027282,0.03835299364320791,0.10048,0.14923400715265556,0.17434909505345839
decoherence_sensitive,1172,36.35738354921341,2.1461247854715744,0.031021658318441475,0.09376,0.11263452048785298,0.12547017381540604
measurement_sensitive,1070,29.088883638381958,1.5353315105343768,0.027185872559235474,0.0856,0.09011683846009291,0.08976100215379097
mixed_random,781,25.619517385959625,1.4141979640467106,0.0328034793674259,0.06248,0.07936880419328761,0.08267909935131977
clean_control,635,17.789959728717804,0.8543371995024138,0.02801568461215402,0.0508,0.05511297535561237,0.04994762543361666
routing_sensitive,1218,21.98097652196884,0.6682725652292341,0.018046778753668998,0.09744,0.06809667002179752,0.039069617704897364
mirror_circuit,1111,15.372751712799072,0.39988652497148536,0.013836860227541919,0.08888,0.04762450838647891,0.02337880450114933
ghz_cat,1357,13.305470585823059,0.21927535946538512,0.009805063069876978,0.10856,0.0412201086272017,0.012819626170764393
qft_lite,1142,11.119872093200684,0.18455406006698638,0.009737190974781684,0.09136,0.03444916379663449,0.010789694127620602
