split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,raw_only,xgboost_regressor,overall,overall,12500,0.026030474531650544,0.03714921986910519,0.927935634880411
validation,raw_only,xgboost_regressor,family,clean_control,606,0.0268357510220493,0.03574113583538765,0.7648011557790481
validation,raw_only,xgboost_regressor,family,decoherence_sensitive,1170,0.031841501568117714,0.044227306286573585,0.8377606545581637
validation,raw_only,xgboost_regressor,family,entanglement_heavy,1277,0.037741398241898934,0.047643123580185624,0.9406606904019751
validation,raw_only,xgboost_regressor,family,ghz_cat,1345,0.010321890332884947,0.013296520995429634,0.9742831780042066
validation,raw_only,xgboost_regressor,family,measurement_sensitive,1060,0.029077538566769295,0.04084944973437312,0.8922015183753153
validation,raw_only,xgboost_regressor,family,mirror_circuit,1088,0.01363622150657808,0.018333781049964172,0.901959651814572
validation,raw_only,xgboost_regressor,family,mixed_random,784,0.03306408903124381,0.04371230275584133,0.6549653118299099
validation,raw_only,xgboost_regressor,family,qaoa_like,1381,0.04074045072682606,0.05170954300058962,0.9330129915580342
validation,raw_only,xgboost_regressor,family,qft_lite,1140,0.009599030802124426,0.012480787768953195,0.9805796615461627
validation,raw_only,xgboost_regressor,family,routing_sensitive,1265,0.01824401979861052,0.023987760411034287,0.899147633982069
validation,raw_only,xgboost_regressor,family,trotter_ising,1384,0.03462457611640065,0.04514783117837952,0.8832855161828681
validation,raw_only,xgboost_regressor,qubit_count,2,1280,0.01636313870549202,0.024189986473526656,0.6596939224424792
validation,raw_only,xgboost_regressor,qubit_count,3,2718,0.02337242870141339,0.033299670408126515,0.613453224080806
validation,raw_only,xgboost_regressor,qubit_count,4,3127,0.025245032010842407,0.037175463453445086,0.704186651976992
validation,raw_only,xgboost_regressor,qubit_count,5,3053,0.027001709927116268,0.036673162037981426,0.8352253617333442
validation,raw_only,xgboost_regressor,qubit_count,6,2322,0.03425168707440579,0.04668281362178275,0.9095332501705785
validation,raw_only,xgboost_regressor,compiler_variant,raw,12500,0.026030474531650544,0.03714921986910519,0.927935634880411
validation,raw_only,xgboost_regressor,difficulty_bucket,q1,3491,0.01902222167247006,0.027807834777415854,0.8858539766524978
validation,raw_only,xgboost_regressor,difficulty_bucket,q2,2974,0.02044508822147046,0.030132719968361893,0.9152547209687605
validation,raw_only,xgboost_regressor,difficulty_bucket,q3,3184,0.02783742651867507,0.03885388328250193,0.9226994796011441
validation,raw_only,xgboost_regressor,difficulty_bucket,q4,2851,0.03842030774497517,0.049707396349316944,0.9266466648166045
test,raw_only,xgboost_regressor,overall,overall,12500,0.02582326156616211,0.036991524406632725,0.9250477677862818
test,raw_only,xgboost_regressor,family,clean_control,635,0.02801568461215402,0.03667987067319385,0.7662082642369755
test,raw_only,xgboost_regressor,family,decoherence_sensitive,1172,0.031021658318441475,0.04279210783220647,0.8373749314786444
test,raw_only,xgboost_regressor,family,entanglement_heavy,1256,0.03835299364320791,0.04872729066054527,0.9377511086499476
test,raw_only,xgboost_regressor,family,ghz_cat,1357,0.009805063069876978,0.01271173972351416,0.9775263426057994
test,raw_only,xgboost_regressor,family,measurement_sensitive,1070,0.027185872559235474,0.037879932182907354,0.9016350905321556
test,raw_only,xgboost_regressor,family,mirror_circuit,1111,0.013836860227541919,0.018971923093374664,0.8996622621040401
test,raw_only,xgboost_regressor,family,mixed_random,781,0.0328034793674259,0.04255294155386856,0.6696834501332738
test,raw_only,xgboost_regressor,family,qaoa_like,1380,0.03982422870138417,0.05116462523309762,0.927349104343167
test,raw_only,xgboost_regressor,family,qft_lite,1142,0.009737190974781684,0.012712435135091585,0.979963212062433
test,raw_only,xgboost_regressor,family,routing_sensitive,1218,0.018046778753668998,0.023423574591804462,0.9019561079100528
test,raw_only,xgboost_regressor,family,trotter_ising,1378,0.03557848964962454,0.04733775127617902,0.8761313542818209
test,raw_only,xgboost_regressor,qubit_count,2,1295,0.017149951098968625,0.02471868563449226,0.6576505991676296
test,raw_only,xgboost_regressor,qubit_count,3,2763,0.023992397433124587,0.034363595074809954,0.5935421912595844
test,raw_only,xgboost_regressor,qubit_count,4,3070,0.025327895072073423,0.0368321009494109,0.7069720206535939
test,raw_only,xgboost_regressor,qubit_count,5,3090,0.026759101792832408,0.03742740250234123,0.822854713131409
test,raw_only,xgboost_regressor,qubit_count,6,2282,0.03236122979185855,0.04468908107615699,0.9127143036616752
test,raw_only,xgboost_regressor,compiler_variant,raw,12500,0.02582326156616211,0.036991524406632725,0.9250477677862818
test,raw_only,xgboost_regressor,difficulty_bucket,q1,3519,0.01883328875617298,0.02767193964825698,0.8937553744732244
test,raw_only,xgboost_regressor,difficulty_bucket,q2,2948,0.020129939462873312,0.02878842087494876,0.9227403056483394
test,raw_only,xgboost_regressor,difficulty_bucket,q3,3255,0.02792912552250512,0.03921613472947705,0.9164430966601071
test,raw_only,xgboost_regressor,difficulty_bucket,q4,2778,0.03825200191927609,0.05005731166887509,0.9215491843993769
