split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,transpiled_only,random_forest_regressor,overall,overall,12500,0.05170940679046493,0.09213087932244164,0.8246075805896236
validation,transpiled_only,random_forest_regressor,family,clean_control,606,0.034543276139608226,0.05985492616908783,0.9189681621122732
validation,transpiled_only,random_forest_regressor,family,decoherence_sensitive,1170,0.12471980231065158,0.17054798577433916,0.68922877686677
validation,transpiled_only,random_forest_regressor,family,entanglement_heavy,1277,0.03882127426197759,0.04953689465184049,0.9358495670761804
validation,transpiled_only,random_forest_regressor,family,ghz_cat,1345,0.012849956503263598,0.01637110000204152,0.9610150506561952
validation,transpiled_only,random_forest_regressor,family,measurement_sensitive,1060,0.06915075009395769,0.10750997913715263,0.8720853504427821
validation,transpiled_only,random_forest_regressor,family,mirror_circuit,1088,0.012591852569496654,0.020408871609971888,0.8789083261022568
validation,transpiled_only,random_forest_regressor,family,mixed_random,784,0.15525135965420678,0.2033262572462655,0.4007956971352159
validation,transpiled_only,random_forest_regressor,family,qaoa_like,1381,0.046595228388035564,0.06142435000189584,0.9208747929493576
validation,transpiled_only,random_forest_regressor,family,qft_lite,1140,0.06258719243570547,0.10518644088665476,0.8208743748777146
validation,transpiled_only,random_forest_regressor,family,routing_sensitive,1265,0.015374512180034086,0.019939891896152213,0.9362527417169466
validation,transpiled_only,random_forest_regressor,family,trotter_ising,1384,0.0352538061812729,0.04625634889456999,0.8774837574529786
validation,transpiled_only,random_forest_regressor,qubit_count,2,1280,0.014749480355195905,0.022910001694524187,0.6963127322342963
validation,transpiled_only,random_forest_regressor,qubit_count,3,2718,0.06401172942915812,0.1076413299568562,0.5259009329088324
validation,transpiled_only,random_forest_regressor,qubit_count,4,3127,0.05359321772624241,0.09704215405084611,0.7062489169328872
validation,transpiled_only,random_forest_regressor,qubit_count,5,3053,0.05142775710929256,0.09135720159894341,0.7923908505072594
validation,transpiled_only,random_forest_regressor,qubit_count,6,2322,0.05551655260683846,0.09047818589287347,0.8256099283399954
validation,transpiled_only,random_forest_regressor,compiler_variant,transpiled,12500,0.05170940679046493,0.09213087932244164,0.8246075805896236
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q1,3491,0.0515861203916062,0.10287591756179748,0.6497838325232885
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q2,2974,0.053504455157775,0.0948602621384821,0.8439468185394483
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q3,3184,0.047434428336452616,0.08174514644296674,0.8782879647324113
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q4,2851,0.054762177878367735,0.08606239734700682,0.8481485930814048
test,transpiled_only,random_forest_regressor,overall,overall,12500,0.049856826052423205,0.08852504143486187,0.8319671379731601
test,transpiled_only,random_forest_regressor,family,clean_control,635,0.0336293771327344,0.05788252682646228,0.9164168152520458
test,transpiled_only,random_forest_regressor,family,decoherence_sensitive,1172,0.1171246033358979,0.15767011681578583,0.7001145323686939
test,transpiled_only,random_forest_regressor,family,entanglement_heavy,1256,0.039056778818745294,0.04991380179525686,0.934682674666737
test,transpiled_only,random_forest_regressor,family,ghz_cat,1357,0.012260763601087025,0.015637116412700672,0.9659923117665248
test,transpiled_only,random_forest_regressor,family,measurement_sensitive,1070,0.06049509629044884,0.09377058760074485,0.8992558127792285
test,transpiled_only,random_forest_regressor,family,mirror_circuit,1111,0.01289410476062471,0.021173735920210515,0.8753432750740393
test,transpiled_only,random_forest_regressor,family,mixed_random,781,0.15661479452082863,0.20683072742127848,0.4187756591266235
test,transpiled_only,random_forest_regressor,family,qaoa_like,1380,0.045920080138162865,0.05974162402405321,0.9167918730111041
test,transpiled_only,random_forest_regressor,family,qft_lite,1142,0.057089702305617086,0.09945116085807557,0.8409838891043444
test,transpiled_only,random_forest_regressor,family,routing_sensitive,1218,0.015819038019414908,0.020086988754736454,0.9317260350608696
test,transpiled_only,random_forest_regressor,family,trotter_ising,1378,0.03605766965993018,0.04823189161416343,0.8714077686415433
test,transpiled_only,random_forest_regressor,qubit_count,2,1295,0.01659910199749365,0.028873466465002454,0.5748167713792661
test,transpiled_only,random_forest_regressor,qubit_count,3,2763,0.06074163857471974,0.10157720885185985,0.5532836104645409
test,transpiled_only,random_forest_regressor,qubit_count,4,3070,0.0521427455315306,0.0946243891546408,0.7069312468671751
test,transpiled_only,random_forest_regressor,qubit_count,5,3090,0.04828420335311312,0.08475858851619486,0.8145211188283003
test,transpiled_only,random_forest_regressor,qubit_count,6,2282,0.05460513761773292,0.0904845763919442,0.8196679977085015
test,transpiled_only,random_forest_regressor,compiler_variant,transpiled,12500,0.049856826052423205,0.08852504143486187,0.8319671379731601
test,transpiled_only,random_forest_regressor,difficulty_bucket,q1,3519,0.04974613228314986,0.10088681144535479,0.6581721023157108
test,transpiled_only,random_forest_regressor,difficulty_bucket,q2,2948,0.050554861517045205,0.0902509504709827,0.8575262798071241
test,transpiled_only,random_forest_regressor,difficulty_bucket,q3,3255,0.04615080969660861,0.07807819634936411,0.8852181440007311
test,transpiled_only,random_forest_regressor,difficulty_bucket,q4,2778,0.05359865688847202,0.08113294070101966,0.8532642357690572
