feature,source_feature,mean_abs_shap
mean_interaction_degree,mean_interaction_degree,0.3908133812849009
original_unique_two_qubit_edge_count,original_unique_two_qubit_edge_count,0.28099684983333895
original_mean_interaction_degree,original_mean_interaction_degree,0.28072615283543717
original_mean_qubit_two_qubit_gate_count,original_mean_qubit_two_qubit_gate_count,0.18558487912153912
mean_qubit_gate_count,mean_qubit_gate_count,0.1517677629353567
coupling_path_length,coupling_path_length,0.14565483009611271
unique_two_qubit_edge_count,unique_two_qubit_edge_count,0.14565483009288036
interaction_graph_density,interaction_graph_density,0.12197769143228288
original_max_qubit_two_qubit_gate_count,original_max_qubit_two_qubit_gate_count,0.12064931480094408
original_mean_qubit_gate_count,original_mean_qubit_gate_count,0.11840816903843579
original_max_qubit_gate_count,original_max_qubit_gate_count,0.10996471418602523
max_qubit_two_qubit_gate_count,max_qubit_two_qubit_gate_count,0.1095100256889532
original_num_cz,original_num_cz,0.09624020195375603
num_single_qubit_gates,num_single_qubit_gates,0.09398400874150387
original_interaction_graph_density,original_interaction_graph_density,0.09381439376549854
circuit_depth,circuit_depth,0.09370120361212486
mean_qubit_two_qubit_gate_count,mean_qubit_two_qubit_gate_count,0.08802008806857858
num_cz,num_cz,0.07643489948913904
num_cx,num_cx,0.07432421588098208
original_num_cx,original_num_cx,0.06907310767829422
original_num_single_qubit_gates,original_num_single_qubit_gates,0.04997294289930191
max_qubit_gate_count,max_qubit_gate_count,0.04846961825046825
original_max_interaction_degree,original_max_interaction_degree,0.0426886338665918
measurement_count,measurement_count,0.04197138408710033
qubit_count,qubit_count,0.04197138404186839
active_qubit_fraction,active_qubit_fraction,0.02897443621039983
max_interaction_degree,max_interaction_degree,0.02637083014811875
original_long_range_interaction_score,original_long_range_interaction_score,0.01853997589472989
long_range_interaction_score,long_range_interaction_score,0.01820129705749493
original_entanglement_density,original_entanglement_density,0.017633363638090004
original_circuit_depth,original_circuit_depth,0.011348727870217783
local_readout_error_mean,local_readout_error_mean,0.0063081369430137545
local_readout_error_max,local_readout_error_max,0.006308136942435252
readout_error,readout_error,0.006308136938593719
original_active_qubit_fraction,original_active_qubit_fraction,0.0021174990910789388
entanglement_density,entanglement_density,0.0021086596929007456
two_qubit_gate_error,two_qubit_gate_error,0.002066586911638974
local_two_qubit_error_mean,local_two_qubit_error_mean,0.0020665869113681737
local_two_qubit_error_max,local_two_qubit_error_max,0.00206658691124334
t2_mean,t2_mean,0.001367075235056871
local_t2_mean,local_t2_mean,0.0013670752269597027
single_qubit_gate_error,single_qubit_gate_error,0.001328589577020154
t1_mean,t1_mean,0.00047552830793937297
local_t1_mean,local_t1_mean,0.0004755283003467108
