split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,transpiled_only,ridge_regression,overall,overall,12500,0.09401033136937191,0.1359591608775044,0.6180404812230683
validation,transpiled_only,ridge_regression,family,clean_control,606,0.1389070311380637,0.16808186505256054,0.361004783289699
validation,transpiled_only,ridge_regression,family,decoherence_sensitive,1170,0.14344941071412984,0.18721214788974846,0.6255311820528417
validation,transpiled_only,ridge_regression,family,entanglement_heavy,1277,0.05537927291297874,0.06788948223524537,0.8795111031587813
validation,transpiled_only,ridge_regression,family,ghz_cat,1345,0.03482760375015368,0.045100773183272214,0.7041243493409559
validation,transpiled_only,ridge_regression,family,measurement_sensitive,1060,0.1533536973284437,0.2041125075578507,0.5389352008789581
validation,transpiled_only,ridge_regression,family,mirror_circuit,1088,0.058271500441209455,0.07379185027343792,-0.5830443994613963
validation,transpiled_only,ridge_regression,family,mixed_random,784,0.16117429361638902,0.21785455485788965,0.3121063830771227
validation,transpiled_only,ridge_regression,family,qaoa_like,1381,0.059477119715749135,0.0766259883976819,0.8768637567417632
validation,transpiled_only,ridge_regression,family,qft_lite,1140,0.18487202158823543,0.21783401637054806,0.2317729482080877
validation,transpiled_only,ridge_regression,family,routing_sensitive,1265,0.0679502212592547,0.08281373497714559,-0.09956436405374469
validation,transpiled_only,ridge_regression,family,trotter_ising,1384,0.05374943459804149,0.06659806911434173,0.7460347803205658
validation,transpiled_only,ridge_regression,qubit_count,2,1280,0.035260302373552946,0.047177755863850465,-0.28780734867072466
validation,transpiled_only,ridge_regression,qubit_count,3,2718,0.09563475875057979,0.13748336555195523,0.22658729742837003
validation,transpiled_only,ridge_regression,qubit_count,4,3127,0.10583920350545467,0.14911518798376575,0.30641070555015526
validation,transpiled_only,ridge_regression,qubit_count,5,3053,0.10611205144399131,0.15016852116279178,0.4390570152518809
validation,transpiled_only,ridge_regression,qubit_count,6,2322,0.09265348767220628,0.1286995576233487,0.6471516460702968
validation,transpiled_only,ridge_regression,compiler_variant,transpiled,12500,0.09401033136937191,0.1359591608775044,0.6180404812230683
validation,transpiled_only,ridge_regression,difficulty_bucket,q1,3491,0.08946520925439742,0.1341430065257668,0.4045506584420363
validation,transpiled_only,ridge_regression,difficulty_bucket,q2,2974,0.13455758183679378,0.18363261339466513,0.41520504660568613
validation,transpiled_only,ridge_regression,difficulty_bucket,q3,3184,0.0841683424080605,0.11345666583230081,0.7655395437011574
validation,transpiled_only,ridge_regression,difficulty_bucket,q4,2851,0.06827072816561139,0.09726363134969597,0.8060486080331533
test,transpiled_only,ridge_regression,overall,overall,12500,0.0920557353765922,0.13160230512065527,0.6286452871471735
test,transpiled_only,ridge_regression,family,clean_control,635,0.12708510154195224,0.15639715345753502,0.3897867407736362
test,transpiled_only,ridge_regression,family,decoherence_sensitive,1172,0.137880749975312,0.1774024701265996,0.6203565014791257
test,transpiled_only,ridge_regression,family,entanglement_heavy,1256,0.05586222948003722,0.0684480610683619,0.8771686024866936
test,transpiled_only,ridge_regression,family,ghz_cat,1357,0.03655640483555991,0.047423129628178635,0.6872162411287195
test,transpiled_only,ridge_regression,family,measurement_sensitive,1070,0.14400775446720965,0.191623469087967,0.5792887562357029
test,transpiled_only,ridge_regression,family,mirror_circuit,1111,0.057224438150064186,0.0713295584332185,-0.41468516439710656
test,transpiled_only,ridge_regression,family,mixed_random,781,0.1637584042425545,0.21744075860319037,0.35761471507705833
test,transpiled_only,ridge_regression,family,qaoa_like,1380,0.05791168075280667,0.07446712380404738,0.8707171677804535
test,transpiled_only,ridge_regression,family,qft_lite,1142,0.18332386915135368,0.21296200662974757,0.2708352348348849
test,transpiled_only,ridge_regression,family,routing_sensitive,1218,0.0653721129591467,0.07885726451586932,-0.05222560887543004
test,transpiled_only,ridge_regression,family,trotter_ising,1378,0.05382745921363228,0.0673362094734128,0.7493639872693896
test,transpiled_only,ridge_regression,qubit_count,2,1295,0.03942578985414355,0.052328737539051096,-0.3965573847692001
test,transpiled_only,ridge_regression,qubit_count,3,2763,0.09517310674546742,0.13436593420577403,0.21834035980280642
test,transpiled_only,ridge_regression,qubit_count,4,3070,0.1020498504400065,0.14234723245448344,0.3367742270243509
test,transpiled_only,ridge_regression,qubit_count,5,3090,0.10247497307875134,0.1443556480447959,0.4619847357959995
test,transpiled_only,ridge_regression,qubit_count,6,2282,0.09059434388448669,0.12640446547135425,0.6480762937963808
test,transpiled_only,ridge_regression,compiler_variant,transpiled,12500,0.0920557353765922,0.13160230512065527,0.6286452871471735
test,transpiled_only,ridge_regression,difficulty_bucket,q1,3519,0.08718224116751126,0.12996059192350434,0.4327662371895956
test,transpiled_only,ridge_regression,difficulty_bucket,q2,2948,0.13144112668971195,0.17692219736586715,0.45248522277905723
test,transpiled_only,ridge_regression,difficulty_bucket,q3,3255,0.08291945087195339,0.11080742154006934,0.7688193947491336
test,transpiled_only,ridge_regression,difficulty_bucket,q4,2778,0.06713863623810347,0.09450717580101557,0.8009000671021779
