split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,transpiled_only,dummy_mean,overall,overall,12500,0.17703087501093753,0.2199937357025521,-4.8391176478368436e-05
validation,transpiled_only,dummy_mean,family,clean_control,606,0.19595166605430078,0.2126191331513528,-0.02249354926248781
validation,transpiled_only,dummy_mean,family,decoherence_sensitive,1170,0.2708705836338141,0.3243488350854098,-0.12401548105923599
validation,transpiled_only,dummy_mean,family,entanglement_heavy,1277,0.16744922850033037,0.19565833333292118,-0.0007802696652445817
validation,transpiled_only,dummy_mean,family,ghz_cat,1345,0.10408778372589454,0.12063464991256687,-1.1168271053982246
validation,transpiled_only,dummy_mean,family,measurement_sensitive,1060,0.24905814012750596,0.30229546012229,-0.011313908655588234
validation,transpiled_only,dummy_mean,family,mirror_circuit,1088,0.13795717638801128,0.14814361547985794,-5.380315791257246
validation,transpiled_only,dummy_mean,family,mixed_random,784,0.2233070156548948,0.26458183672554164,-0.014630807005360902
validation,transpiled_only,dummy_mean,family,qaoa_like,1381,0.18622126525304353,0.2240422885467308,-0.05267357503311776
validation,transpiled_only,dummy_mean,family,qft_lite,1140,0.26589664633018084,0.2977046133406157,-0.43485933479710903
validation,transpiled_only,dummy_mean,family,routing_sensitive,1265,0.07696197641582264,0.09123117786979719,-0.334450522130483
validation,transpiled_only,dummy_mean,family,trotter_ising,1384,0.1275776952560513,0.14603089791768015,-0.22106977142360318
validation,transpiled_only,dummy_mean,qubit_count,2,1280,0.21073153930664068,0.2147931555697176,-25.694218956040565
validation,transpiled_only,dummy_mean,qubit_count,3,2718,0.18173541562471263,0.19605640680473135,-0.5727984355275622
validation,transpiled_only,dummy_mean,qubit_count,4,3127,0.14682491727481914,0.18064264977660593,-0.01788616314552116
validation,transpiled_only,dummy_mean,qubit_count,5,3053,0.14977710835461533,0.21369901453076234,-0.1359676193937387
validation,transpiled_only,dummy_mean,qubit_count,6,2322,0.2294580876534237,0.2934651724023874,-0.834624222462435
validation,transpiled_only,dummy_mean,compiler_variant,transpiled,12500,0.17703087501093753,0.2199937357025521,-4.8391176478368436e-05
validation,transpiled_only,dummy_mean,difficulty_bucket,q1,3491,0.1470458771634874,0.18014228035387064,-0.07384119286927238
validation,transpiled_only,dummy_mean,difficulty_bucket,q2,2974,0.19891453784360294,0.24014057299626884,-8.075787466110818e-05
validation,transpiled_only,dummy_mean,difficulty_bucket,q3,3184,0.18797863762783648,0.23563649665435482,-0.011334183421986666
validation,transpiled_only,dummy_mean,difficulty_bucket,q4,2851,0.17869272630834027,0.22426069345675081,-0.03109400637358517
test,transpiled_only,dummy_mean,overall,overall,12500,0.1737600619171875,0.2159635275245102,-5.243660458309485e-05
test,transpiled_only,dummy_mean,family,clean_control,635,0.18836250398314472,0.20580652608371286,-0.05667695386122462
test,transpiled_only,dummy_mean,family,decoherence_sensitive,1172,0.2523452428574285,0.3038794391245144,-0.11393352322865313
test,transpiled_only,dummy_mean,family,entanglement_heavy,1256,0.1663157187842108,0.19531180452489208,-0.00010149728864772278
test,transpiled_only,dummy_mean,family,ghz_cat,1357,0.10052387739930688,0.11651958425618035,-0.8882592665684061
test,transpiled_only,dummy_mean,family,measurement_sensitive,1070,0.24590347526650114,0.2958095255456748,-0.0025615214012648657
test,transpiled_only,dummy_mean,family,mirror_circuit,1111,0.13769103592097495,0.1486587156627502,-5.144711270074779
test,transpiled_only,dummy_mean,family,mixed_random,781,0.234943075946803,0.2738601868159332,-0.01899364399049963
test,transpiled_only,dummy_mean,family,qaoa_like,1380,0.17364507856374545,0.2090890057998834,-0.019234446058555843
test,transpiled_only,dummy_mean,family,qft_lite,1142,0.2717183946920151,0.3048505932019394,-0.4941544849315851
test,transpiled_only,dummy_mean,family,routing_sensitive,1218,0.0737017552949251,0.08818008441965014,-0.31572907679287243
test,transpiled_only,dummy_mean,family,trotter_ising,1378,0.12485860669051617,0.14471130023733436,-0.1575800512169967
test,transpiled_only,dummy_mean,qubit_count,2,1295,0.2129335716321791,0.21711936882627114,-23.042266493582837
test,transpiled_only,dummy_mean,qubit_count,3,2763,0.1825287713656183,0.19582368263218766,-0.6602357586412866
test,transpiled_only,dummy_mean,qubit_count,4,3070,0.14262203633957657,0.1758549457996924,-0.012214403397142304
test,transpiled_only,dummy_mean,qubit_count,5,3090,0.14599301479065532,0.20989008738572154,-0.13739389451940687
test,transpiled_only,dummy_mean,qubit_count,6,2282,0.2204017248695634,0.2846782335133338,-0.7849753141099836
test,transpiled_only,dummy_mean,compiler_variant,transpiled,12500,0.1737600619171875,0.2159635275245102,-5.243660458309485e-05
test,transpiled_only,dummy_mean,difficulty_bucket,q1,3519,0.14565530180748706,0.17889183676112744,-0.07478044935376715
test,transpiled_only,dummy_mean,difficulty_bucket,q2,2948,0.19814247871305762,0.23913194581956576,-0.0002450049514604036
test,transpiled_only,dummy_mean,difficulty_bucket,q3,3255,0.1839449120493712,0.23139881069138252,-0.008175044937662301
test,transpiled_only,dummy_mean,difficulty_bucket,q4,2778,0.17155329407397407,0.2142494149162323,-0.023247830597757035
validation,transpiled_only,ridge_regression,overall,overall,12500,0.09401033136937191,0.1359591608775044,0.6180404812230683
validation,transpiled_only,ridge_regression,family,clean_control,606,0.1389070311380637,0.16808186505256054,0.361004783289699
validation,transpiled_only,ridge_regression,family,decoherence_sensitive,1170,0.14344941071412984,0.18721214788974846,0.6255311820528417
validation,transpiled_only,ridge_regression,family,entanglement_heavy,1277,0.05537927291297874,0.06788948223524537,0.8795111031587813
validation,transpiled_only,ridge_regression,family,ghz_cat,1345,0.03482760375015368,0.045100773183272214,0.7041243493409559
validation,transpiled_only,ridge_regression,family,measurement_sensitive,1060,0.1533536973284437,0.2041125075578507,0.5389352008789581
validation,transpiled_only,ridge_regression,family,mirror_circuit,1088,0.058271500441209455,0.07379185027343792,-0.5830443994613963
validation,transpiled_only,ridge_regression,family,mixed_random,784,0.16117429361638902,0.21785455485788965,0.3121063830771227
validation,transpiled_only,ridge_regression,family,qaoa_like,1381,0.059477119715749135,0.0766259883976819,0.8768637567417632
validation,transpiled_only,ridge_regression,family,qft_lite,1140,0.18487202158823543,0.21783401637054806,0.2317729482080877
validation,transpiled_only,ridge_regression,family,routing_sensitive,1265,0.0679502212592547,0.08281373497714559,-0.09956436405374469
validation,transpiled_only,ridge_regression,family,trotter_ising,1384,0.05374943459804149,0.06659806911434173,0.7460347803205658
validation,transpiled_only,ridge_regression,qubit_count,2,1280,0.035260302373552946,0.047177755863850465,-0.28780734867072466
validation,transpiled_only,ridge_regression,qubit_count,3,2718,0.09563475875057979,0.13748336555195523,0.22658729742837003
validation,transpiled_only,ridge_regression,qubit_count,4,3127,0.10583920350545467,0.14911518798376575,0.30641070555015526
validation,transpiled_only,ridge_regression,qubit_count,5,3053,0.10611205144399131,0.15016852116279178,0.4390570152518809
validation,transpiled_only,ridge_regression,qubit_count,6,2322,0.09265348767220628,0.1286995576233487,0.6471516460702968
validation,transpiled_only,ridge_regression,compiler_variant,transpiled,12500,0.09401033136937191,0.1359591608775044,0.6180404812230683
validation,transpiled_only,ridge_regression,difficulty_bucket,q1,3491,0.08946520925439742,0.1341430065257668,0.4045506584420363
validation,transpiled_only,ridge_regression,difficulty_bucket,q2,2974,0.13455758183679378,0.18363261339466513,0.41520504660568613
validation,transpiled_only,ridge_regression,difficulty_bucket,q3,3184,0.0841683424080605,0.11345666583230081,0.7655395437011574
validation,transpiled_only,ridge_regression,difficulty_bucket,q4,2851,0.06827072816561139,0.09726363134969597,0.8060486080331533
test,transpiled_only,ridge_regression,overall,overall,12500,0.0920557353765922,0.13160230512065527,0.6286452871471735
test,transpiled_only,ridge_regression,family,clean_control,635,0.12708510154195224,0.15639715345753502,0.3897867407736362
test,transpiled_only,ridge_regression,family,decoherence_sensitive,1172,0.137880749975312,0.1774024701265996,0.6203565014791257
test,transpiled_only,ridge_regression,family,entanglement_heavy,1256,0.05586222948003722,0.0684480610683619,0.8771686024866936
test,transpiled_only,ridge_regression,family,ghz_cat,1357,0.03655640483555991,0.047423129628178635,0.6872162411287195
test,transpiled_only,ridge_regression,family,measurement_sensitive,1070,0.14400775446720965,0.191623469087967,0.5792887562357029
test,transpiled_only,ridge_regression,family,mirror_circuit,1111,0.057224438150064186,0.0713295584332185,-0.41468516439710656
test,transpiled_only,ridge_regression,family,mixed_random,781,0.1637584042425545,0.21744075860319037,0.35761471507705833
test,transpiled_only,ridge_regression,family,qaoa_like,1380,0.05791168075280667,0.07446712380404738,0.8707171677804535
test,transpiled_only,ridge_regression,family,qft_lite,1142,0.18332386915135368,0.21296200662974757,0.2708352348348849
test,transpiled_only,ridge_regression,family,routing_sensitive,1218,0.0653721129591467,0.07885726451586932,-0.05222560887543004
test,transpiled_only,ridge_regression,family,trotter_ising,1378,0.05382745921363228,0.0673362094734128,0.7493639872693896
test,transpiled_only,ridge_regression,qubit_count,2,1295,0.03942578985414355,0.052328737539051096,-0.3965573847692001
test,transpiled_only,ridge_regression,qubit_count,3,2763,0.09517310674546742,0.13436593420577403,0.21834035980280642
test,transpiled_only,ridge_regression,qubit_count,4,3070,0.1020498504400065,0.14234723245448344,0.3367742270243509
test,transpiled_only,ridge_regression,qubit_count,5,3090,0.10247497307875134,0.1443556480447959,0.4619847357959995
test,transpiled_only,ridge_regression,qubit_count,6,2282,0.09059434388448669,0.12640446547135425,0.6480762937963808
test,transpiled_only,ridge_regression,compiler_variant,transpiled,12500,0.0920557353765922,0.13160230512065527,0.6286452871471735
test,transpiled_only,ridge_regression,difficulty_bucket,q1,3519,0.08718224116751126,0.12996059192350434,0.4327662371895956
test,transpiled_only,ridge_regression,difficulty_bucket,q2,2948,0.13144112668971195,0.17692219736586715,0.45248522277905723
test,transpiled_only,ridge_regression,difficulty_bucket,q3,3255,0.08291945087195339,0.11080742154006934,0.7688193947491336
test,transpiled_only,ridge_regression,difficulty_bucket,q4,2778,0.06713863623810347,0.09450717580101557,0.8009000671021779
validation,transpiled_only,random_forest_regressor,overall,overall,12500,0.05170940679046493,0.09213087932244164,0.8246075805896236
validation,transpiled_only,random_forest_regressor,family,clean_control,606,0.034543276139608226,0.05985492616908783,0.9189681621122732
validation,transpiled_only,random_forest_regressor,family,decoherence_sensitive,1170,0.12471980231065158,0.17054798577433916,0.68922877686677
validation,transpiled_only,random_forest_regressor,family,entanglement_heavy,1277,0.03882127426197759,0.04953689465184049,0.9358495670761804
validation,transpiled_only,random_forest_regressor,family,ghz_cat,1345,0.012849956503263598,0.01637110000204152,0.9610150506561952
validation,transpiled_only,random_forest_regressor,family,measurement_sensitive,1060,0.06915075009395769,0.10750997913715263,0.8720853504427821
validation,transpiled_only,random_forest_regressor,family,mirror_circuit,1088,0.012591852569496654,0.020408871609971888,0.8789083261022568
validation,transpiled_only,random_forest_regressor,family,mixed_random,784,0.15525135965420678,0.2033262572462655,0.4007956971352159
validation,transpiled_only,random_forest_regressor,family,qaoa_like,1381,0.046595228388035564,0.06142435000189584,0.9208747929493576
validation,transpiled_only,random_forest_regressor,family,qft_lite,1140,0.06258719243570547,0.10518644088665476,0.8208743748777146
validation,transpiled_only,random_forest_regressor,family,routing_sensitive,1265,0.015374512180034086,0.019939891896152213,0.9362527417169466
validation,transpiled_only,random_forest_regressor,family,trotter_ising,1384,0.0352538061812729,0.04625634889456999,0.8774837574529786
validation,transpiled_only,random_forest_regressor,qubit_count,2,1280,0.014749480355195905,0.022910001694524187,0.6963127322342963
validation,transpiled_only,random_forest_regressor,qubit_count,3,2718,0.06401172942915812,0.1076413299568562,0.5259009329088324
validation,transpiled_only,random_forest_regressor,qubit_count,4,3127,0.05359321772624241,0.09704215405084611,0.7062489169328872
validation,transpiled_only,random_forest_regressor,qubit_count,5,3053,0.05142775710929256,0.09135720159894341,0.7923908505072594
validation,transpiled_only,random_forest_regressor,qubit_count,6,2322,0.05551655260683846,0.09047818589287347,0.8256099283399954
validation,transpiled_only,random_forest_regressor,compiler_variant,transpiled,12500,0.05170940679046493,0.09213087932244164,0.8246075805896236
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q1,3491,0.0515861203916062,0.10287591756179748,0.6497838325232885
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q2,2974,0.053504455157775,0.0948602621384821,0.8439468185394483
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q3,3184,0.047434428336452616,0.08174514644296674,0.8782879647324113
validation,transpiled_only,random_forest_regressor,difficulty_bucket,q4,2851,0.054762177878367735,0.08606239734700682,0.8481485930814048
test,transpiled_only,random_forest_regressor,overall,overall,12500,0.049856826052423205,0.08852504143486187,0.8319671379731601
test,transpiled_only,random_forest_regressor,family,clean_control,635,0.0336293771327344,0.05788252682646228,0.9164168152520458
test,transpiled_only,random_forest_regressor,family,decoherence_sensitive,1172,0.1171246033358979,0.15767011681578583,0.7001145323686939
test,transpiled_only,random_forest_regressor,family,entanglement_heavy,1256,0.039056778818745294,0.04991380179525686,0.934682674666737
test,transpiled_only,random_forest_regressor,family,ghz_cat,1357,0.012260763601087025,0.015637116412700672,0.9659923117665248
test,transpiled_only,random_forest_regressor,family,measurement_sensitive,1070,0.06049509629044884,0.09377058760074485,0.8992558127792285
test,transpiled_only,random_forest_regressor,family,mirror_circuit,1111,0.01289410476062471,0.021173735920210515,0.8753432750740393
test,transpiled_only,random_forest_regressor,family,mixed_random,781,0.15661479452082863,0.20683072742127848,0.4187756591266235
test,transpiled_only,random_forest_regressor,family,qaoa_like,1380,0.045920080138162865,0.05974162402405321,0.9167918730111041
test,transpiled_only,random_forest_regressor,family,qft_lite,1142,0.057089702305617086,0.09945116085807557,0.8409838891043444
test,transpiled_only,random_forest_regressor,family,routing_sensitive,1218,0.015819038019414908,0.020086988754736454,0.9317260350608696
test,transpiled_only,random_forest_regressor,family,trotter_ising,1378,0.03605766965993018,0.04823189161416343,0.8714077686415433
test,transpiled_only,random_forest_regressor,qubit_count,2,1295,0.01659910199749365,0.028873466465002454,0.5748167713792661
test,transpiled_only,random_forest_regressor,qubit_count,3,2763,0.06074163857471974,0.10157720885185985,0.5532836104645409
test,transpiled_only,random_forest_regressor,qubit_count,4,3070,0.0521427455315306,0.0946243891546408,0.7069312468671751
test,transpiled_only,random_forest_regressor,qubit_count,5,3090,0.04828420335311312,0.08475858851619486,0.8145211188283003
test,transpiled_only,random_forest_regressor,qubit_count,6,2282,0.05460513761773292,0.0904845763919442,0.8196679977085015
test,transpiled_only,random_forest_regressor,compiler_variant,transpiled,12500,0.049856826052423205,0.08852504143486187,0.8319671379731601
test,transpiled_only,random_forest_regressor,difficulty_bucket,q1,3519,0.04974613228314986,0.10088681144535479,0.6581721023157108
test,transpiled_only,random_forest_regressor,difficulty_bucket,q2,2948,0.050554861517045205,0.0902509504709827,0.8575262798071241
test,transpiled_only,random_forest_regressor,difficulty_bucket,q3,3255,0.04615080969660861,0.07807819634936411,0.8852181440007311
test,transpiled_only,random_forest_regressor,difficulty_bucket,q4,2778,0.05359865688847202,0.08113294070101966,0.8532642357690572
validation,transpiled_only,xgboost_regressor,overall,overall,12500,0.0519088681191206,0.09112139166745845,0.8284301093724892
validation,transpiled_only,xgboost_regressor,family,clean_control,606,0.039484816661762324,0.0625554566415689,0.9114912335941238
validation,transpiled_only,xgboost_regressor,family,decoherence_sensitive,1170,0.12571978678560664,0.17068899093312923,0.6887146874121912
validation,transpiled_only,xgboost_regressor,family,entanglement_heavy,1277,0.03823790768673388,0.048441947261602024,0.9386541455078998
validation,transpiled_only,xgboost_regressor,family,ghz_cat,1345,0.011588557768045306,0.014746665129289583,0.9683678371307906
validation,transpiled_only,xgboost_regressor,family,measurement_sensitive,1060,0.07000802352602752,0.10711988306336576,0.8730119337164117
validation,transpiled_only,xgboost_regressor,family,mirror_circuit,1088,0.013282943023916553,0.02058233397633509,0.8768411748556816
validation,transpiled_only,xgboost_regressor,family,mixed_random,784,0.15036141891412588,0.1976903546657478,0.4335534295864977
validation,transpiled_only,xgboost_regressor,family,qaoa_like,1381,0.04581411820576728,0.060435661694216665,0.9234014967537053
validation,transpiled_only,xgboost_regressor,family,qft_lite,1140,0.06747858336097316,0.1043150844424924,0.8238298086705287
validation,transpiled_only,xgboost_regressor,family,routing_sensitive,1265,0.014401489048607264,0.01848537360229302,0.9452136488544249
validation,transpiled_only,xgboost_regressor,family,trotter_ising,1384,0.03502024453930083,0.04573872754071044,0.8802103970524043
validation,transpiled_only,xgboost_regressor,qubit_count,2,1280,0.01594726387411356,0.02428898041913495,0.6586539267567874
validation,transpiled_only,xgboost_regressor,qubit_count,3,2718,0.0638047546104441,0.10615307648482311,0.538920130957512
validation,transpiled_only,xgboost_regressor,qubit_count,4,3127,0.054910664088359304,0.09727331448167506,0.7048477835201137
validation,transpiled_only,xgboost_regressor,qubit_count,5,3053,0.05162291828136619,0.08977274331348431,0.7995297616782345
validation,transpiled_only,xgboost_regressor,qubit_count,6,2322,0.0541415222143172,0.08856556428627027,0.8329048765162956
validation,transpiled_only,xgboost_regressor,compiler_variant,transpiled,12500,0.0519088681191206,0.09112139166745845,0.8284301093724892
validation,transpiled_only,xgboost_regressor,difficulty_bucket,q1,3491,0.05106781077774231,0.10057374992684194,0.6652827967571336
validation,transpiled_only,xgboost_regressor,difficulty_bucket,q2,2974,0.05495577599419871,0.09423954945960425,0.8459823869325331
