family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
mixed_random,781,119.88391759991646,32.07552469074447,0.15350053469899674,0.06248,0.191181508129033,0.334668327198089
decoherence_sensitive,1172,137.52173320949078,28.95702754375955,0.11733936280673274,0.09376,0.21930891884306664,0.3021306763376306
qft_lite,1142,71.54329073429108,10.994212831332595,0.06264736491619184,0.09136,0.11409165209917341,0.11471097831124663
measurement_sensitive,1070,65.67240609228611,9.356255325359605,0.06137608046008047,0.0856,0.1047292238237158,0.09762092276793974
qaoa_like,1380,62.72490930557251,4.8811901541011125,0.04545283283012501,0.1104,0.10002878616559761,0.050929166688898395
trotter_ising,1378,50.00508305430412,3.1893418666727227,0.036288158965387604,0.11024,0.07974420075546543,0.03327682766449601
entanglement_heavy,1256,48.554253965616226,3.041520297754862,0.03865784551402566,0.10048,0.07743053184335594,0.031734492888353984
clean_control,635,23.720090806484222,2.2350322820221002,0.03735447371099877,0.0508,0.03782694813557231,0.023319790471701952
routing_sensitive,1218,18.17552763223648,0.4363050739406269,0.014922436479668703,0.09744,0.02898491184921291,0.00455230243781116
mirror_circuit,1111,14.57368665933609,0.4121509060588586,0.013117629756378119,0.08888,0.023240977191204035,0.004300283646605361
ghz_cat,1357,14.693684995174408,0.26416474803482615,0.01082806558229507,0.10856,0.023432341164602914,0.002756231587227326
