feature,importance_mean,importance_std
qubit_count,0.07201137058064341,0.0013530091596054606
original_entanglement_density,0.025850078992173075,0.0007120971761799079
original_mean_qubit_gate_count,0.01744764933772385,0.0002960944620376224
original_num_single_qubit_gates,0.016101637018099427,0.0004526989778957046
original_unique_two_qubit_edge_count,0.014126556292921304,0.0005186452979433863
max_qubit_gate_count,0.013069983433932066,0.0003984211840048361
original_long_range_interaction_score,0.013021607219427822,0.00032085034208809284
measurement_count,0.012098676894232628,0.00027907051971698
num_single_qubit_gates,0.010958367262780665,0.00027685235011252324
readout_error,0.01069863376189023,0.00030966973979745105
original_max_qubit_two_qubit_gate_count,0.010427748700231311,0.0002459700353540017
original_mean_qubit_two_qubit_gate_count,0.010075308621302246,0.00028485691281513316
mean_qubit_gate_count,0.009348001874610781,0.00019145286152413496
entanglement_density,0.008211952009797095,0.00011052378412573762
circuit_depth,0.006240745999291538,0.00018068109986404916
num_cx,0.005607413958758115,0.00015665784416295253
original_circuit_depth,0.005327706614322958,0.00024814641092359927
original_num_cz,0.003429233352839945,0.0001109792837774829
original_interaction_graph_density,0.0029030976660549632,0.0001241227692874987
max_qubit_two_qubit_gate_count,0.0027410293988883484,0.00016529528633230103
mean_qubit_two_qubit_gate_count,0.002655012354254722,0.00010539744878778788
original_max_qubit_gate_count,0.002618654682859777,0.00024215499574352535
interaction_graph_density,0.002263087125495075,8.863889618092331e-05
unique_two_qubit_edge_count,0.0021878642991185185,0.00010338996866522196
two_qubit_gate_error,0.0019768213296309104,9.022885619809372e-05
original_num_cx,0.0017731024693697682,0.00012430607422577394
long_range_interaction_score,0.0013833480853587387,6.75976754408301e-05
local_readout_error_mean,0.0013131623063236458,5.8705786849329956e-05
mean_interaction_degree,0.0012299705978482947,9.190302495185372e-05
original_mean_interaction_degree,0.0012125570975244039,5.892934895880303e-05
t2_mean,0.0012038151217624521,0.00010088784219616445
single_qubit_gate_error,0.0011115192241966726,8.540196043151424e-05
original_active_qubit_fraction,0.0010200094293802949,0.00011794607196510147
num_cz,0.001003470350801945,5.6939801503071085e-05
t1_mean,0.0008821221001446226,3.916178624318843e-05
active_qubit_fraction,0.0007277579370886089,3.444392728727588e-05
max_interaction_degree,0.0005556831244379282,2.7158451149186195e-05
original_max_interaction_degree,0.00033232241868972646,2.5839521673653322e-05
coupling_path_length,0.00016095407065003925,1.7957175710953665e-05
local_t2_mean,0.0001477591637521966,2.9546564293942802e-05
local_t1_mean,0.0001413976479321703,1.909117482985894e-05
local_two_qubit_error_mean,7.884522676467748e-05,3.185362956224793e-05
local_readout_error_max,3.588042110204675e-05,7.349711274532955e-06
local_two_qubit_error_max,1.1610295623539109e-05,6.907113616240038e-06
