available,variant_metrics,delta_mae_transpiled_minus_raw,delta_r2_transpiled_minus_raw,sharp_difference_flag,ablation_name,model_name
True,"[{'compiler_variant': 'raw', 'mae': 0.11681614820937501, 'rmse': 0.14178434477943416, 'r2': -0.10112513180533256}, {'compiler_variant': 'transpiled', 'mae': 0.16656717975, 'rmse': 0.21961115658734695, 'r2': -0.034119542841627215}]",0.049751031540624976,0.06700558896370534,True,both,dummy_mean
True,"[{'compiler_variant': 'raw', 'mae': 0.028224220818287613, 'rmse': 0.041629922780734935, 'r2': 0.905072657156815}, {'compiler_variant': 'transpiled', 'mae': 0.05062369515078239, 'rmse': 0.09322568861423879, 'r2': 0.8136483909014838}]",0.022399474332494777,-0.09142426625533118,True,both,random_forest_regressor
True,"[{'compiler_variant': 'raw', 'mae': 0.05390952779756918, 'rmse': 0.06929706308490581, 'r2': 0.7369672825672083}, {'compiler_variant': 'transpiled', 'mae': 0.09192816568545652, 'rmse': 0.13949984784681474, 'r2': 0.582737443074135}]",0.038018637887887334,-0.15422983949307334,True,both,ridge_regression
True,"[{'compiler_variant': 'raw', 'mae': 0.02836033378124237, 'rmse': 0.040454108110644794, 'r2': 0.9103592719073984}, {'compiler_variant': 'transpiled', 'mae': 0.05031655691444874, 'rmse': 0.0898648627972968, 'r2': 0.8268423120571339}]",0.021956223133206366,-0.08351695985026453,True,both,xgboost_regressor
True,"[{'compiler_variant': 'raw', 'mae': 0.11681614820937501, 'rmse': 0.14178434477943416, 'r2': -0.10112513180533256}, {'compiler_variant': 'transpiled', 'mae': 0.16656717975, 'rmse': 0.21961115658734695, 'r2': -0.034119542841627215}]",0.049751031540624976,0.06700558896370534,True,both_with_local_features,dummy_mean
True,"[{'compiler_variant': 'raw', 'mae': 0.028219367628534723, 'rmse': 0.03970255686599809, 'r2': 0.9136590015009757}, {'compiler_variant': 'transpiled', 'mae': 0.05088176604232483, 'rmse': 0.08995225873068961, 'r2': 0.8265053475073608}]",0.02266239841379011,-0.08715365399361485,True,both_with_local_features,random_forest_regressor
True,"[{'compiler_variant': 'raw', 'mae': 0.05323826430823963, 'rmse': 0.06755636536470419, 'r2': 0.7500157394916616}, {'compiler_variant': 'transpiled', 'mae': 0.09507947549408467, 'rmse': 0.13850131259970586, 'r2': 0.5886895668722238}]",0.041841211185845044,-0.1613261726194377,True,both_with_local_features,ridge_regression
True,"[{'compiler_variant': 'raw', 'mae': 0.02707157801389694, 'rmse': 0.038071250770858975, 'r2': 0.9206084274940565}, {'compiler_variant': 'transpiled', 'mae': 0.05032601752579212, 'rmse': 0.0880607854143492, 'r2': 0.8337249617511184}]",0.023254439511895177,-0.08688346574293804,True,both_with_local_features,xgboost_regressor
True,"[{'compiler_variant': 'raw', 'mae': 0.11681614820937501, 'rmse': 0.14178434477943416, 'r2': -0.10112513180533256}, {'compiler_variant': 'transpiled', 'mae': 0.16656717975, 'rmse': 0.21961115658734695, 'r2': -0.034119542841627215}]",0.049751031540624976,0.06700558896370534,True,both_without_local_features,dummy_mean
True,"[{'compiler_variant': 'raw', 'mae': 0.02771648026046575, 'rmse': 0.03914883268506252, 'r2': 0.916050570715467}, {'compiler_variant': 'transpiled', 'mae': 0.05102886335983339, 'rmse': 0.08991754169397968, 'r2': 0.8266392420415254}]",0.02331238309936764,-0.08941132867394164,True,both_without_local_features,random_forest_regressor
True,"[{'compiler_variant': 'raw', 'mae': 0.05311193656828884, 'rmse': 0.06786592168039197, 'r2': 0.7477195383584111}, {'compiler_variant': 'transpiled', 'mae': 0.09414692420419185, 'rmse': 0.13892694005047238, 'r2': 0.5861576918540311}]",0.04103498763590301,-0.16156184650438,True,both_without_local_features,ridge_regression
True,"[{'compiler_variant': 'raw', 'mae': 0.026884423031806947, 'rmse': 0.03797280697647818, 'r2': 0.9210184745909605}, {'compiler_variant': 'transpiled', 'mae': 0.049926726279258725, 'rmse': 0.08752293630831735, 'r2': 0.8357498760563384}]",0.023042303247451778,-0.0852685985346221,True,both_without_local_features,xgboost_regressor
True,"[{'compiler_variant': 'raw', 'mae': 0.10417718738281248, 'rmse': 0.13512545513605365, 'r2': -0.00012539148946144607}]",,,,raw_only,dummy_mean
True,"[{'compiler_variant': 'raw', 'mae': 0.026265087035633915, 'rmse': 0.0376498869016618, 'r2': 0.9223560778009109}]",,,,raw_only,random_forest_regressor
True,"[{'compiler_variant': 'raw', 'mae': 0.047597272851926276, 'rmse': 0.061751148524814344, 'r2': 0.7911328249117655}]",,,,raw_only,ridge_regression
True,"[{'compiler_variant': 'raw', 'mae': 0.02582326156616211, 'rmse': 0.036991524406632725, 'r2': 0.9250477677862818}]",,,,raw_only,xgboost_regressor
True,"[{'compiler_variant': 'transpiled', 'mae': 0.1737600619171875, 'rmse': 0.2159635275245102, 'r2': -5.243660458309485e-05}]",,,,transpiled_only,dummy_mean
True,"[{'compiler_variant': 'transpiled', 'mae': 0.049856826052423205, 'rmse': 0.08852504143486187, 'r2': 0.8319671379731601}]",,,,transpiled_only,random_forest_regressor
True,"[{'compiler_variant': 'transpiled', 'mae': 0.0920557353765922, 'rmse': 0.13160230512065527, 'r2': 0.6286452871471735}]",,,,transpiled_only,ridge_regression
True,"[{'compiler_variant': 'transpiled', 'mae': 0.05016548672437668, 'rmse': 0.08756379421645973, 'r2': 0.8355964880834962}]",,,,transpiled_only,xgboost_regressor
